javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
ViewPagerBottomSheetBehavior.java,com.google.android.material.bottomsheet.ViewPagerBottomSheetBehavior,4,8,14,6,0,8,3,2.000000000000000,86,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,20.500000000000000,true
PodcastApp.java,de.danoeh.antennapod.PodcastApp,5,22,39,8,0,22,4,0.500000000000000,97,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,18.200000000000000,true
DownloadAuthenticationActivity.java,de.danoeh.antennapod.activity.DownloadAuthenticationActivity,2,10,12,1,0,10,1,2.000000000000000,39,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,18.000000000000000,true
MainActivity.java,de.danoeh.antennapod.activity.MainActivity$1,3,6,12,1,0,6,2,0.000000000000000,70,0.000000000000000,0,0.000000000000000,0.533300000000000,0,0,22.000000000000000,true
MainActivity.java,de.danoeh.antennapod.activity.MainActivity$2,1,2,5,0,0,2,0,2.000000000000000,54,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,51.000000000000000,true
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$1,5,5,14,4,0,5,4,0.250000000000000,45,0.000000000000000,0,0.000000000000000,0.360000000000000,0,0,7.800000000000000,true
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$2,2,5,4,1,0,5,1,1.000000000000000,18,0.000000000000000,0,0.000000000000000,0.642900000000000,0,0,7.500000000000000,true
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$3,3,4,6,1,0,4,2,0.500000000000000,25,0.000000000000000,0,0.000000000000000,0.476200000000000,0,0,6.666700000000000,true
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$FeedViewAuthenticationDialog,3,3,11,0,0,3,0,0.250000000000000,43,0.500000000000000,0,0.000000000000000,0.533300000000000,0,0,12.666700000000000,true
PreferenceActivity.java,de.danoeh.antennapod.activity.PreferenceActivity,7,33,58,21,0,33,5,1.166700000000000,317,0.500000000000000,0,0.000000000000000,0.342900000000000,0,0,44.000000000000000,true
SelectSubscriptionActivity.java,de.danoeh.antennapod.activity.SelectSubscriptionActivity$1,4,7,6,0,0,7,3,0.000000000000000,40,0.000000000000000,0,0.000000000000000,0.527800000000000,0,0,8.500000000000000,false
StorageErrorActivity.java,de.danoeh.antennapod.activity.StorageErrorActivity$1,2,6,8,0,0,6,1,0.000000000000000,32,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,14.500000000000000,true
