javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
JavadocSinceCheck.java,com.blazebit.persistence.checkstyle.JavadocSinceCheck,11,12,37,45,0,12,8,0.825000000000000,234,1.000000000000000,0,0.000000000000000,0.272700000000000,0,0,19.909100000000000,false
BaseCriteriaBuilder.java,com.blazebit.persistence.BaseCriteriaBuilder,0,4,0,0,0,4,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
BaseCTECriteriaBuilder.java,com.blazebit.persistence.BaseCTECriteriaBuilder,0,9,0,0,0,9,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
BaseDeleteCriteriaBuilder.java,com.blazebit.persistence.BaseDeleteCriteriaBuilder,0,1,0,0,0,1,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
BaseFinalSetOperationBuilder.java,com.blazebit.persistence.BaseFinalSetOperationBuilder,0,2,0,0,0,2,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
BaseFromQueryBuilder.java,com.blazebit.persistence.BaseFromQueryBuilder,1,10,1,0,0,10,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BaseHavingBuilder.java,com.blazebit.persistence.BaseHavingBuilder,14,7,14,91,0,7,14,2.000000000000000,14,0.000000000000000,0,0.000000000000000,0.595200000000000,0,0,0.000000000000000,true
BaseInsertCriteriaBuilder.java,com.blazebit.persistence.BaseInsertCriteriaBuilder,2,8,2,1,0,8,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,0.000000000000000,true
BaseJoinOnBuilder.java,com.blazebit.persistence.BaseJoinOnBuilder,14,7,14,91,0,7,14,2.000000000000000,14,0.000000000000000,0,0.000000000000000,0.595200000000000,0,0,0.000000000000000,true
BaseModificationCriteriaBuilder.java,com.blazebit.persistence.BaseModificationCriteriaBuilder,0,2,0,0,0,2,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
BaseOngoingFinalSetOperationBuilder.java,com.blazebit.persistence.BaseOngoingFinalSetOperationBuilder,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BaseOngoingSetOperationBuilder.java,com.blazebit.persistence.BaseOngoingSetOperationBuilder,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BaseQueryBuilder.java,com.blazebit.persistence.BaseQueryBuilder,1,8,1,0,0,8,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
BaseSubqueryBuilder.java,com.blazebit.persistence.BaseSubqueryBuilder,2,5,2,1,0,5,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BaseUpdateCriteriaBuilder.java,com.blazebit.persistence.BaseUpdateCriteriaBuilder,6,5,6,15,0,5,6,2.000000000000000,6,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,0.000000000000000,true
