javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
Field.java,org.apache.commons.math3.Field,3,0,3,3,0,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,False
FieldElement.java,org.apache.commons.math3.FieldElement,8,3,8,28,0,3,8,2.0,8,0.0,0,0.0,0.5417,0,0,0.0,False
RealFieldElement.java,org.apache.commons.math3.RealFieldElement,49,2,49,1176,0,2,49,2.0,49,0.0,0,0.0,0.2585,0,0,0.0,True
BivariateFunction.java,org.apache.commons.math3.analysis.BivariateFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$1,2,1,4,0,0,1,1,0.0,30,0.0,0,0.0,0.6667,0,0,13.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$10,2,2,5,0,0,2,1,0.0,29,0.0,0,0.0,0.625,0,0,12.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$11,2,3,5,0,0,3,1,0.0,50,0.0,0,0.0,0.6,0,0,22.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$12,2,2,4,0,0,2,1,0.0,20,0.0,0,0.0,0.8333,0,0,8.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$13,2,2,4,0,0,2,1,0.0,20,0.0,0,0.0,0.8333,0,0,8.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$14$1,2,4,6,0,0,4,1,0.0,28,0.0,0,0.0,0.6667,0,0,12.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$14,3,4,6,1,0,4,2,0.5,20,0.0,0,0.0,0.5556,0,0,5.3333,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$15,3,5,15,0,0,5,2,0.0,98,0.0,0,0.0,0.5,0,0,31.3333,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$16$1,2,4,7,0,0,4,1,0.0,69,0.0,0,0.0,0.625,0,0,32.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$16$2,2,4,6,0,0,4,1,0.0,69,0.0,0,0.0,0.6667,0,0,33.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$16,4,6,8,4,0,6,3,0.6667,27,0.0,0,0.0,0.4375,0,0,5.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$17,3,6,15,0,0,6,2,0.0,163,0.0,0,0.0,0.5,0,0,53.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$18$1,2,4,6,0,0,4,1,0.0,83,0.0,0,0.0,0.6667,0,0,40.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$18,3,4,6,1,0,4,2,0.5,20,0.0,0,0.0,0.5556,0,0,5.3333,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$19,3,6,15,0,0,6,2,0.0,183,0.0,0,0.0,0.5,0,0,59.6667,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$2,3,2,6,0,0,2,2,0.0,52,0.0,0,0.0,0.5,0,0,16.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$3$1,2,3,6,0,0,3,1,0.0,45,0.0,0,0.0,0.6667,0,0,21.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$3,3,3,6,1,0,3,2,0.5,36,0.0,0,0.0,0.5556,0,0,10.6667,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$4,2,1,4,0,0,1,1,0.0,36,0.0,0,0.0,0.6667,0,0,16.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$5,3,3,7,0,0,3,2,0.0,64,0.0,0,0.0,0.5,0,0,20.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$6$1,2,3,5,0,0,3,1,0.0,41,0.0,0,0.0,0.6667,0,0,19.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$6,3,3,6,1,0,3,2,0.5,42,0.0,0,0.0,0.5556,0,0,12.6667,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$7,2,1,4,0,0,1,1,0.0,36,0.0,0,0.0,0.6667,0,0,16.5,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$8,3,2,7,0,0,2,2,0.0,64,0.0,0,0.0,0.5,0,0,20.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$9$1,2,3,6,0,0,3,1,0.0,59,0.0,0,0.0,0.6667,0,0,28.0,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils$9,3,3,6,1,0,3,2,0.5,42,0.0,0,0.0,0.5556,0,0,12.6667,True
FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,22,33,48,231,0,33,21,2.0,185,0.0,0,0.0,0.0974,0,0,7.4091,True
MultivariateFunction.java,org.apache.commons.math3.analysis.MultivariateFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
MultivariateMatrixFunction.java,org.apache.commons.math3.analysis.MultivariateMatrixFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
MultivariateVectorFunction.java,org.apache.commons.math3.analysis.MultivariateVectorFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
ParametricUnivariateFunction.java,org.apache.commons.math3.analysis.ParametricUnivariateFunction,2,0,2,1,0,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,False
RealFieldUnivariateFunction.java,org.apache.commons.math3.analysis.RealFieldUnivariateFunction,1,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
TrivariateFunction.java,org.apache.commons.math3.analysis.TrivariateFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
UnivariateFunction.java,org.apache.commons.math3.analysis.UnivariateFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
UnivariateMatrixFunction.java,org.apache.commons.math3.analysis.UnivariateMatrixFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
UnivariateVectorFunction.java,org.apache.commons.math3.analysis.UnivariateVectorFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure$1,6,3,9,9,0,3,5,0.2,47,0.0,0,0.0,0.5833,0,0,6.6667,True
DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure$DataTransferObject,2,1,4,0,0,1,0,0.5,28,1.0,0,0.0,0.6667,0,0,11.0,True
DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,137,13,168,4996,0,13,133,0.3652,2151,1.0,0,0.0,0.162,0,0,14.6788,True
DSCompiler.java,org.apache.commons.math3.analysis.differentiation.DSCompiler,49,8,98,486,0,8,40,0.7161,3718,1.0,0,0.0,0.3988,0,0,74.7143,True
FiniteDifferencesDifferentiator.java,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$1,3,7,17,0,0,7,2,0.25,87,0.0,0,0.0,0.4667,0,0,27.3333,True
FiniteDifferencesDifferentiator.java,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$2,3,7,17,0,0,7,2,0.25,125,0.0,0,0.0,0.4667,0,0,40.0,True
