javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
Pom.java,eu.modernmt.Pom,3,1,11,1,0,1,2,0.5,60,1.0,0,0.0,0.5,0,0,18.6667,False
RuntimeErrorException.java,eu.modernmt.RuntimeErrorException,3,0,7,3,0,0,2,2.0,27,0.0,0,0.0,0.6667,0,0,8.0,False
Aligner.java,eu.modernmt.aligner.Aligner,7,5,7,21,0,5,7,2.0,7,0.0,0,0.0,0.5429,0,0,0.0,True
Aligner.java,eu.modernmt.aligner.Aligner$SymmetrizationStrategy,5,1,8,6,0,1,2,0.75,70,0.2,5,0.0,0.3333,0,0,12.0,True
AlignerException.java,eu.modernmt.aligner.AlignerException,3,0,6,3,0,0,3,2.0,16,0.0,0,0.0,0.7778,0,0,4.3333,False
AlignerConfig.java,eu.modernmt.config.AlignerConfig,5,1,10,0,0,1,5,0.5,36,1.0,0,0.0,0.4667,0,0,5.8,False
AnalyzerConfig.java,eu.modernmt.config.AnalyzerConfig,15,1,22,41,0,1,15,0.8061,126,1.0,0,0.0,0.2933,0,0,6.9333,False
ApiConfig.java,eu.modernmt.config.ApiConfig,9,1,16,2,0,1,9,0.6875,74,1.0,0,0.0,0.2889,0,0,6.7778,False
BinaryLogConfig.java,eu.modernmt.config.BinaryLogConfig,14,2,22,29,0,2,14,0.7821,133,1.0,0,0.0,0.25,0,0,8.0714,False
ConfigException.java,eu.modernmt.config.ConfigException,3,0,6,3,0,0,3,2.0,16,0.0,0,0.0,0.7778,0,0,4.3333,False
DatabaseConfig.java,eu.modernmt.config.DatabaseConfig,19,2,27,91,0,2,19,0.8889,173,0.8182,0,0.0,0.2456,0,0,7.5263,True
DatabaseConfig.java,eu.modernmt.config.DatabaseConfig$Type,5,1,8,6,0,1,2,0.75,48,0.3333,3,0.0,0.3333,0,0,8.0,True
DecoderConfig.java,eu.modernmt.config.DecoderConfig,19,4,32,91,0,4,17,0.8395,244,1.0,0,0.0,0.2222,0,0,11.3684,True
EngineConfig.java,eu.modernmt.config.EngineConfig,10,5,24,9,0,5,10,0.7593,118,1.0,0,0.0,0.325,0,0,10.2,False
JoinConfig.java,eu.modernmt.config.JoinConfig,7,2,13,0,0,2,7,0.6111,81,1.0,0,0.0,0.3571,0,0,10.1429,False
JoinConfig.java,eu.modernmt.config.JoinConfig$Member,4,0,12,0,0,0,4,0.3333,42,1.0,0,0.0,0.5,0,0,9.0,False
NetworkConfig.java,eu.modernmt.config.NetworkConfig,11,4,23,13,0,4,11,0.7667,116,1.0,0,0.0,0.3409,0,0,9.0,False
NodeConfig.java,eu.modernmt.config.NodeConfig,8,4,22,0,0,4,8,0.6857,108,1.0,0,0.0,0.5625,0,0,11.875,False
XMLAbstractBuilder.java,eu.modernmt.config.xml.XMLAbstractBuilder,27,1,53,193,0,1,1,0.4423,357,1.0,0,0.0,0.5192,0,0,12.1481,False
XMLBinaryLogConfigBuilder.java,eu.modernmt.config.xml.XMLBinaryLogConfigBuilder,2,3,14,1,0,3,2,2.0,69,0.0,0,0.0,0.6667,0,0,33.5,False
XMLConfigBuilder.java,eu.modernmt.config.xml.XMLConfigBuilder,3,11,36,1,0,11,1,0.0,141,1.0,0,0.0,0.4167,0,0,44.6667,True
XMLDatabaseConfigBuilder.java,eu.modernmt.config.xml.XMLDatabaseConfigBuilder,2,4,19,1,0,4,2,2.0,114,0.0,0,0.0,0.6667,0,0,56.0,True
XMLEngineConfigBuilder.java,eu.modernmt.config.xml.XMLEngineConfigBuilder,4,14,36,4,0,14,2,0.6667,273,1.0,0,0.0,0.5,0,0,66.5,True
XMLEngineConfigBuilder.java,eu.modernmt.config.xml.XMLEngineConfigBuilder$XMLDecoderConfigBuilder,2,3,17,1,0,3,2,2.0,82,0.0,0,0.0,0.6667,0,0,40.0,True
XMLEngineConfigBuilder.java,eu.modernmt.config.xml.XMLEngineConfigBuilder$XMLAnalyzerConfigBuilder,2,2,13,1,0,2,2,2.0,62,0.0,0,0.0,0.6667,0,0,30.0,True
XMLEngineConfigBuilder.java,eu.modernmt.config.xml.XMLEngineConfigBuilder$XMLAlignerConfigBuilder,2,2,6,1,0,2,2,2.0,17,0.0,0,0.0,0.6667,0,0,7.5,True
XMLNetworkConfigBuilder.java,eu.modernmt.config.xml.XMLNetworkConfigBuilder,2,8,16,0,0,8,2,0.0,67,1.0,0,0.0,0.6667,0,0,31.5,True
