javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AudioDetailPlayer.java,com.example.gsyvideoplayer.AudioDetailPlayer$1,2,3,8,1,0,3,1,1.0,31,0.0,0,0.0,0.6667,0,0,14.0,False
AudioDetailPlayer.java,com.example.gsyvideoplayer.AudioDetailPlayer$2,2,4,5,0,0,4,1,0.0,23,0.0,0,0.0,0.625,0,0,10.0,False
AudioDetailPlayer.java,com.example.gsyvideoplayer.AudioDetailPlayer$3,6,10,25,9,0,10,5,0.6,146,0.0,0,0.0,0.7083,0,0,23.1667,False
AudioDetailPlayer.java,com.example.gsyvideoplayer.AudioDetailPlayer$4,2,8,6,0,0,8,1,0.0,24,0.0,0,0.0,0.6667,0,0,10.5,False
AudioDetailPlayer.java,com.example.gsyvideoplayer.AudioDetailPlayer,12,26,69,26,0,26,3,0.6818,247,0.75,0,0.0,0.25,0,0,19.25,False
AutoPlayRecyclerViewActivity.java,com.example.gsyvideoplayer.AutoPlayRecyclerViewActivity$1,3,5,10,0,0,5,2,0.6667,59,0.0,0,0.0,0.6667,0,0,17.6667,False
AutoPlayRecyclerViewActivity.java,com.example.gsyvideoplayer.AutoPlayRecyclerViewActivity,8,24,41,20,0,24,3,0.9048,176,0.0,0,0.0,0.4167,0,0,20.25,False
DanmkuVideoActivity.java,com.example.gsyvideoplayer.DanmkuVideoActivity$1,2,8,7,0,0,8,1,0.0,24,0.0,0,0.0,0.6667,0,0,10.5,True
DanmkuVideoActivity.java,com.example.gsyvideoplayer.DanmkuVideoActivity$2,5,5,17,4,0,5,4,0.5,58,0.0,0,0.0,0.7,0,0,10.4,True
DanmkuVideoActivity.java,com.example.gsyvideoplayer.DanmkuVideoActivity$3,2,4,5,0,0,4,1,0.0,23,0.0,0,0.0,0.625,0,0,10.0,True
DanmkuVideoActivity.java,com.example.gsyvideoplayer.DanmkuVideoActivity$4,4,6,9,4,0,6,3,0.3333,33,0.0,0,0.0,0.4063,0,0,7.0,True
DanmkuVideoActivity.java,com.example.gsyvideoplayer.DanmkuVideoActivity,15,30,68,55,0,30,3,0.7714,276,1.0,0,0.0,0.24,0,0,17.0667,True
DetailADPlayer.java,com.example.gsyvideoplayer.DetailADPlayer$1,2,4,6,0,0,4,1,0.0,23,0.0,0,0.0,0.625,0,0,10.0,True
DetailADPlayer.java,com.example.gsyvideoplayer.DetailADPlayer,11,20,40,47,0,20,7,0.7,183,0.0,0,0.0,0.2545,0,0,15.5455,True
DetailADPlayer2.java,com.example.gsyvideoplayer.DetailADPlayer2$1,2,4,6,0,0,4,1,0.0,23,0.0,0,0.0,0.625,0,0,10.0,True
DetailADPlayer2.java,com.example.gsyvideoplayer.DetailADPlayer2$2,2,7,12,0,0,7,1,0.0,49,0.5,0,0.0,0.6667,0,0,22.5,True
DetailADPlayer2.java,com.example.gsyvideoplayer.DetailADPlayer2,18,17,50,127,0,17,10,0.8941,183,1.0,0,0.0,0.2333,0,0,8.8889,True
DetailControlActivity.java,com.example.gsyvideoplayer.DetailControlActivity$1,2,3,3,1,0,3,1,1.0,10,0.0,0,0.0,0.625,0,0,3.5,True
DetailControlActivity.java,com.example.gsyvideoplayer.DetailControlActivity$10,2,4,4,0,0,4,1,0.5,17,0.0,0,0.0,0.6,0,0,6.5,True
DetailControlActivity.java,com.example.gsyvideoplayer.DetailControlActivity$11,2,4,4,0,0,4,1,0.5,17,0.0,0,0.0,0.6,0,0,6.5,True
DetailControlActivity.java,com.example.gsyvideoplayer.DetailControlActivity$12,2,4,6,0,0,4,1,0.0,32,0.0,0,0.0,0.6667,0,0,14.5,True
DetailControlActivity.java,com.example.gsyvideoplayer.DetailControlActivity$13,2,3,5,0,0,3,1,0.0,21,0.0,0,0.0,0.6667,0,0,8.5,True
