javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AsciiNumberFormatException.java,org.agrona.AsciiNumberFormatException,1,0,2,0,0,0,1,2.0,6,1.0,0,0.0,1.0,0,0,4.0,False
CloseHelper.java,org.agrona.CloseHelper,10,2,20,45,0,2,9,2.0,283,0.0,0,0.0,0.26,0,0,27.3,True
DeadlineTimerWheel.java,org.agrona.DeadlineTimerWheel$TimerConsumer,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
DeadlineTimerWheel.java,org.agrona.DeadlineTimerWheel$TimerHandler,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
DelegatingErrorHandler.java,org.agrona.DelegatingErrorHandler,1,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
DirectBuffer.java,org.agrona.DirectBuffer,48,1,48,1128,0,1,48,1.0213,50,0.0,0,0.0,0.2616,0,0,0.0,False
ErrorHandler.java,org.agrona.ErrorHandler,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
ExpandableRingBuffer.java,org.agrona.ExpandableRingBuffer$MessageConsumer,1,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
IoUtil.java,org.agrona.IoUtil$MappingMethods,3,0,10,3,0,0,0,1.0,102,0.0,0,0.0,0.5,0,0,32.0,True
LangUtil.java,org.agrona.LangUtil,3,0,4,3,0,0,1,2.0,11,0.0,0,0.0,0.5,0,0,2.6667,False
ManagedResource.java,org.agrona.ManagedResource,3,0,3,3,0,0,3,2.0,3,0.0,0,0.0,0.6667,0,0,0.0,False
MutableDirectBuffer.java,org.agrona.MutableDirectBuffer,39,1,39,741,0,1,39,2.0,39,0.0,0,0.0,0.2179,0,0,0.0,False
PropertyAction.java,org.agrona.PropertyAction,4,1,7,4,0,1,2,0.8889,45,0.3333,3,0.0,0.4444,0,0,9.5,False
References.java,org.agrona.References,3,0,5,3,0,0,2,2.0,21,0.0,0,0.0,0.4444,0,0,6.0,False
Strings.java,org.agrona.Strings,3,0,6,3,0,0,2,2.0,24,0.0,0,0.0,0.4444,0,0,7.0,False
SystemUtil.java,org.agrona.SystemUtil$1,1,1,3,0,0,1,0,2.0,21,0.0,0,0.0,0.0,0,0,19.0,True
UnsafeAccess.java,org.agrona.UnsafeAccess,2,2,10,1,0,2,0,1.0,51,0.0,0,0.0,1.0,0,0,22.5,False
ArrayListUtil.java,org.agrona.collections.ArrayListUtil,4,0,9,6,0,0,3,2.0,69,0.0,0,0.0,0.4375,0,0,16.25,False
ArrayUtil.java,org.agrona.collections.ArrayUtil,7,0,12,21,0,0,5,1.0278,147,0.0,0,0.0,0.4583,0,0,18.2857,False
BiInt2ObjectMap.java,org.agrona.collections.BiInt2ObjectMap$EntryConsumer,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
BiInt2ObjectMap.java,org.agrona.collections.BiInt2ObjectMap$EntryFunction,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
Hashing.java,org.agrona.collections.Hashing,9,0,11,36,0,0,8,1.125,127,0.0,0,0.0,0.3333,0,0,13.0,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$AbstractIterator,7,1,11,0,0,1,3,0.5333,193,0.8,0,0.0,0.5714,0,0,25.8571,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$EntryIterator,18,3,30,133,0,3,17,0.1765,173,0.0,0,0.0,0.2556,0,0,8.5556,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$EntrySet,9,2,24,0,0,2,9,0.3125,139,0.5,0,0.0,0.3333,0,0,14.2222,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$KeyIterator,7,2,13,19,0,2,7,0.5,40,0.0,0,0.0,0.5714,0,0,4.5714,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$KeySet,8,2,15,0,0,2,8,0.3571,71,0.5,0,0.0,0.3438,0,0,7.625,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$ValueCollection,6,2,11,3,0,2,6,0.3,61,0.5,0,0.0,0.375,0,0,8.8333,True
Int2IntHashMap.java,org.agrona.collections.Int2IntHashMap$ValueIterator,7,2,13,19,0,2,7,0.5,42,0.0,0,0.0,0.5714,0,0,4.8571,True
Int2NullableObjectHashMap.java,org.agrona.collections.Int2NullableObjectHashMap,6,2,10,15,0,2,4,2.0,37,0.0,0,0.0,0.3889,0,0,5.1667,False
