javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AboutActivity.java,net.cyclestreets.AboutActivity,2,3,4,1,0,3,1,2.000000000000000,9,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.500000000000000,true
CycleStreetsApp.java,net.cyclestreets.CycleStreetsApp,2,3,5,1,0,3,2,2.000000000000000,11,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.500000000000000,true
LocationsActivity.java,net.cyclestreets.LocationsActivity,2,3,4,1,0,3,1,2.000000000000000,9,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.500000000000000,true
Welcome.java,net.cyclestreets.Welcome,4,8,15,6,0,8,3,2.000000000000000,54,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,12.500000000000000,true
CycleStreetsPreferences.java,net.cyclestreets.CycleStreetsPreferences,48,9,71,1108,0,9,39,0.993600000000000,611,0.033300000000000,0,0.000000000000000,0.090300000000000,0,0,11.104200000000000,true
RoutePlans.java,net.cyclestreets.RoutePlans,3,0,4,1,0,0,2,1.333300000000000,34,0.166700000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
ApiCustomiser.java,net.cyclestreets.api.ApiCustomiser,3,0,3,3,0,0,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.777800000000000,0,0,0.000000000000000,false
Blog.java,net.cyclestreets.api.Blog$1,1,1,4,0,0,1,0,2.000000000000000,14,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,13.000000000000000,true
Blog.java,net.cyclestreets.api.Blog,7,3,26,3,0,3,6,0.500000000000000,106,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,13.857100000000000,true
BlogEntry.java,net.cyclestreets.api.BlogEntry,4,0,6,0,0,0,4,0.500000000000000,54,1.000000000000000,0,0.000000000000000,0.625000000000000,0,0,11.500000000000000,false
Feedback.java,net.cyclestreets.api.Feedback,4,3,10,6,0,3,4,2.000000000000000,34,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,7.500000000000000,true
GeoAdapter.java,net.cyclestreets.api.GeoAdapter,6,10,19,9,0,10,1,0.700000000000000,75,1.000000000000000,0,0.000000000000000,0.375000000000000,0,0,11.166700000000000,true
GeoLiveAdapter.java,net.cyclestreets.api.GeoLiveAdapter$GeocodeFilter,4,7,33,0,0,7,1,0.333300000000000,177,0.500000000000000,0,0.000000000000000,0.458300000000000,0,0,42.750000000000000,true
GeoLiveAdapter.java,net.cyclestreets.api.GeoLiveAdapter,6,9,26,5,0,9,5,1.044400000000000,144,0.888900000000000,0,0.000000000000000,0.277800000000000,0,0,21.500000000000000,true
GeoPlace.java,net.cyclestreets.api.GeoPlace,6,2,12,3,0,2,6,0.466700000000000,82,1.000000000000000,0,0.000000000000000,0.416700000000000,0,0,12.166700000000000,true
GeoPlaces.java,net.cyclestreets.api.GeoPlaces,9,3,21,0,0,3,7,0.562500000000000,70,0.500000000000000,1,0.000000000000000,0.275000000000000,0,0,6.555600000000000,true
GeoStaticAdapter.java,net.cyclestreets.api.GeoStaticAdapter$AsyncGeoCoder,5,4,7,4,0,4,1,0.000000000000000,42,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,7.200000000000000,true
