javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,32,4,38,0,0,4,32,0.596800000000000,364,1.000000000000000,0,0.000000000000000,0.411500000000000,0,0,10.312500000000000,false
AntLoggerFactory.java,org.owasp.dependencycheck.ant.logging.AntLoggerFactory,2,4,4,0,0,4,2,0.000000000000000,15,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.000000000000000,false
Check.java,org.owasp.dependencycheck.taskdefs.Check$ReportFormat,3,2,6,1,0,2,3,0.500000000000000,18,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.666700000000000,true
Check.java,org.owasp.dependencycheck.taskdefs.Check$ReportFormats,2,2,5,1,0,2,2,2.000000000000000,37,0.000000000000000,0,0.900000000000000,1.000000000000000,1,1,17.500000000000000,true
Check.java,org.owasp.dependencycheck.taskdefs.Check,162,25,229,12507,0,25,155,0.980500000000000,1692,1.000000000000000,0,0.000000000000000,0.115100000000000,0,0,8.956800000000000,true
Purge.java,org.owasp.dependencycheck.taskdefs.Purge,8,6,34,0,0,6,7,0.678600000000000,169,1.000000000000000,0,0.840900000000000,0.416700000000000,0,0,19.625000000000000,true
RetirejsFilter.java,org.owasp.dependencycheck.taskdefs.RetirejsFilter,3,0,4,1,0,0,3,0.500000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,3.333300000000000,false
SuppressionFile.java,org.owasp.dependencycheck.taskdefs.SuppressionFile,3,0,4,1,0,0,3,0.500000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,3.333300000000000,false
StaticLoggerBinder.java,org.slf4j.impl.StaticLoggerBinder,6,4,9,5,0,4,4,0.720000000000000,51,0.800000000000000,1,0.000000000000000,0.500000000000000,0,0,6.666700000000000,true
UpdateTest.java,org.owasp.dependencycheck.taskdefs.UpdateTest,5,6,15,10,0,6,5,2.000000000000000,132,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,25.400000000000000,false
CliParser.java,org.owasp.dependencycheck.CliParser$ARGUMENT,1,0,2,0,0,0,1,2.000000000000000,118,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,true
CliParser.java,org.owasp.dependencycheck.CliParser,46,14,95,289,0,14,32,0.773300000000000,1618,1.000000000000000,0,0.000000000000000,0.219000000000000,0,0,34.065200000000000,true
BaseTest.java,org.owasp.dependencycheck.BaseTest,5,1,8,4,0,1,3,0.250000000000000,28,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.400000000000000,false
CliParserTest.java,org.owasp.dependencycheck.CliParserTest,16,5,59,120,0,5,16,2.000000000000000,767,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,46.937500000000000,true
AnalysisTask.java,org.owasp.dependencycheck.AnalysisTask,5,7,18,2,0,7,3,0.400000000000000,122,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,22.400000000000000,false
Engine.java,org.owasp.dependencycheck.Engine$Mode,7,2,13,15,0,2,3,0.833300000000000,138,0.500000000000000,4,0.000000000000000,0.250000000000000,0,0,17.857100000000000,true
AbstractAnalyzer.java,org.owasp.dependencycheck.analyzer.AbstractAnalyzer,14,8,19,81,0,8,8,0.794900000000000,81,1.000000000000000,0,0.000000000000000,0.323100000000000,0,0,4.571400000000000,true
AbstractFileTypeAnalyzer.java,org.owasp.dependencycheck.analyzer.AbstractFileTypeAnalyzer,9,6,18,14,0,6,2,0.687500000000000,82,1.000000000000000,0,0.000000000000000,0.300000000000000,0,0,7.888900000000000,true
AnalysisPhase.java,org.owasp.dependencycheck.analyzer.AnalysisPhase,4,1,7,4,0,1,2,0.976200000000000,166,0.071400000000000,14,0.000000000000000,0.444400000000000,0,0,37.000000000000000,false
Analyzer.java,org.owasp.dependencycheck.analyzer.Analyzer,8,6,8,28,0,6,8,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.375000000000000,0,0,0.000000000000000,true
AnalyzerService.java,org.owasp.dependencycheck.analyzer.AnalyzerService,5,5,22,6,0,5,4,0.500000000000000,93,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,17.000000000000000,true
ArtifactoryAnalyzer.java,org.owasp.dependencycheck.analyzer.ArtifactoryAnalyzer,12,22,58,42,0,22,7,0.909100000000000,318,1.000000000000000,0,0.000000000000000,0.309100000000000,0,0,25.000000000000000,true
AssemblyAnalyzer.java,org.owasp.dependencycheck.analyzer.AssemblyAnalyzer,15,27,116,53,0,27,6,0.892900000000000,1154,0.875000000000000,0,0.000000000000000,0.224500000000000,0,0,75.400000000000000,true
AutoconfAnalyzer.java,org.owasp.dependencycheck.analyzer.AutoconfAnalyzer,11,11,39,47,0,11,3,0.977800000000000,312,1.000000000000000,0,0.000000000000000,0.360000000000000,0,0,26.545500000000000,true
CentralAnalyzer.java,org.owasp.dependencycheck.analyzer.CentralAnalyzer,13,28,83,40,0,28,7,0.898100000000000,533,1.000000000000000,0,0.000000000000000,0.300000000000000,0,0,39.307700000000000,true
CMakeAnalyzer.java,org.owasp.dependencycheck.analyzer.CMakeAnalyzer,10,16,70,31,0,16,3,0.888900000000000,617,0.888900000000000,0,0.000000000000000,0.422200000000000,0,0,59.800000000000000,true
CocoaPodsAnalyzer.java,org.owasp.dependencycheck.analyzer.CocoaPodsAnalyzer,12,18,69,56,0,18,3,0.949500000000000,555,0.666700000000000,0,0.000000000000000,0.431800000000000,0,0,44.500000000000000,true
CPEAnalyzer.java,org.owasp.dependencycheck.analyzer.CPEAnalyzer$IdentifierConfidence,4,1,7,4,0,1,2,0.916700000000000,56,0.250000000000000,4,0.000000000000000,0.444400000000000,0,0,12.000000000000000,true
CPEAnalyzer.java,org.owasp.dependencycheck.analyzer.CPEAnalyzer$IdentifierMatch,12,7,31,0,0,7,11,0.272700000000000,132,1.000000000000000,0,0.000000000000000,0.229200000000000,0,0,9.833300000000000,true
CpeSuppressionAnalyzer.java,org.owasp.dependencycheck.analyzer.CpeSuppressionAnalyzer,7,6,11,19,0,6,4,1.000000000000000,36,1.000000000000000,0,0.000000000000000,0.375000000000000,0,0,3.857100000000000,false
ElixirMixAuditAnalyzer.java,org.owasp.dependencycheck.analyzer.ElixirMixAuditAnalyzer,9,16,64,18,0,16,3,1.000000000000000,461,0.500000000000000,0,0.000000000000000,0.325000000000000,0,0,49.111100000000000,true
Experimental.java,org.owasp.dependencycheck.analyzer.Experimental,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
FileNameAnalyzer.java,org.owasp.dependencycheck.analyzer.FileNameAnalyzer,6,12,20,11,0,12,3,0.933300000000000,162,1.000000000000000,0,0.000000000000000,0.466700000000000,0,0,25.500000000000000,true
FileTypeAnalyzer.java,org.owasp.dependencycheck.analyzer.FileTypeAnalyzer,0,1,0,0,0,1,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
GolangModAnalyzer.java,org.owasp.dependencycheck.analyzer.GolangModAnalyzer,11,14,61,23,0,14,3,0.866700000000000,538,0.666700000000000,0,0.000000000000000,0.375000000000000,0,0,47.363600000000000,true
