javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AppEngine.java,org.flowable.app.engine.AppEngine,3,4,3,3,0,4,3,1.500000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
AppEngineConfiguration.java,org.flowable.app.engine.AppEngineConfiguration,102,88,208,4861,0,88,90,0.964700000000000,1233,0.933300000000000,0,0.000000000000000,0.049000000000000,0,0,10.794100000000000,true
AppEngines.java,org.flowable.app.engine.AppEngines,17,8,69,50,0,8,13,0.678600000000000,473,0.857100000000000,0,0.000000000000000,0.125000000000000,0,0,26.411800000000000,true
AppEngineImpl.java,org.flowable.app.engine.impl.AppEngineImpl,11,12,30,23,0,12,10,0.800000000000000,130,1.000000000000000,0,0.000000000000000,0.300000000000000,0,0,10.363600000000000,true
AppManagementServiceImpl.java,org.flowable.app.engine.impl.AppManagementServiceImpl,3,8,8,1,0,8,3,2.000000000000000,27,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,8.000000000000000,true
AppRepositoryServiceImpl.java,org.flowable.app.engine.impl.AppRepositoryServiceImpl,12,24,27,0,0,24,12,2.000000000000000,112,0.000000000000000,0,0.000000000000000,0.366700000000000,0,0,8.333300000000000,true
AppRepositoryServiceImpl.java,org.flowable.app.engine.impl.AppRepositoryServiceImpl$1,3,5,4,3,0,5,2,1.000000000000000,18,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.666700000000000,true
StandaloneInMemAppEngineConfiguration.java,org.flowable.app.engine.impl.cfg.StandaloneInMemAppEngineConfiguration,1,1,2,0,0,1,1,2.000000000000000,10,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,9.000000000000000,false
GetAppModelCmd.java,org.flowable.app.engine.impl.cmd.GetAppModelCmd,3,9,9,1,0,9,3,0.000000000000000,40,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,12.000000000000000,true
GetAppModelJsonCmd.java,org.flowable.app.engine.impl.cmd.GetAppModelJsonCmd,3,10,11,1,0,10,3,0.000000000000000,45,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,13.666700000000000,false
GetDeploymentAppDefinitionCmd.java,org.flowable.app.engine.impl.cmd.GetDeploymentAppDefinitionCmd,3,6,6,1,0,6,3,0.750000000000000,21,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.333300000000000,true
NeedsAppDefinitionCmd.java,org.flowable.app.engine.impl.cmd.NeedsAppDefinitionCmd,3,7,11,1,0,7,2,1.000000000000000,45,1.000000000000000,0,0.000000000000000,0.583300000000000,0,0,13.333300000000000,true
SchemaOperationsAppEngineBuild.java,org.flowable.app.engine.impl.cmd.SchemaOperationsAppEngineBuild,3,6,6,3,0,6,3,2.000000000000000,17,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,4.666700000000000,true
SetAppDefinitionCategoryCmd.java,org.flowable.app.engine.impl.cmd.SetAppDefinitionCategoryCmd,3,10,14,1,0,10,3,0.000000000000000,67,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,20.666700000000000,true
AppDbSchemaManager.java,org.flowable.app.engine.impl.db.AppDbSchemaManager,9,9,26,36,0,9,5,1.125000000000000,123,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,12.555600000000000,true
AppDeploymentManager.java,org.flowable.app.engine.impl.deployer.AppDeploymentManager,20,15,47,122,0,15,20,0.726300000000000,346,1.000000000000000,0,0.000000000000000,0.154200000000000,0,0,16.050000000000000,true
BaseAppModel.java,org.flowable.app.engine.impl.deployer.BaseAppModel,15,1,16,91,0,1,15,0.928600000000000,74,1.000000000000000,0,0.000000000000000,0.733300000000000,0,0,3.466700000000000,false
AppCommandInvoker.java,org.flowable.app.engine.impl.interceptor.AppCommandInvoker,4,9,11,6,0,9,3,1.000000000000000,27,1.000000000000000,0,0.000000000000000,0.466700000000000,0,0,5.500000000000000,true
AbstractAppEngineEntity.java,org.flowable.app.engine.impl.persistence.entity.AbstractAppEngineEntity,2,1,3,1,0,1,2,2.000000000000000,7,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.500000000000000,false
AbstractAppEngineNoRevisionEntity.java,org.flowable.app.engine.impl.persistence.entity.AbstractAppEngineNoRevisionEntity,2,1,3,1,0,1,2,2.000000000000000,7,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.500000000000000,false
AppDefinitionEntity.java,org.flowable.app.engine.impl.persistence.entity.AppDefinitionEntity,8,2,8,28,0,2,8,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,true
AppDefinitionEntityImpl.java,org.flowable.app.engine.impl.persistence.entity.AppDefinitionEntityImpl,18,2,21,129,0,2,18,0.926500000000000,100,1.000000000000000,0,0.000000000000000,0.481500000000000,0,0,4.111100000000000,true
AppDefinitionEntityManager.java,org.flowable.app.engine.impl.persistence.entity.AppDefinitionEntityManager,9,4,9,36,0,4,9,2.000000000000000,9,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,0.000000000000000,true
AppDefinitionEntityManagerImpl.java,org.flowable.app.engine.impl.persistence.entity.AppDefinitionEntityManagerImpl,10,12,24,3,0,12,10,2.000000000000000,95,0.000000000000000,0,0.000000000000000,0.350000000000000,0,0,8.500000000000000,true
AppDeploymentEntity.java,org.flowable.app.engine.impl.persistence.entity.AppDeploymentEntity,11,3,11,55,0,3,11,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.238600000000000,0,0,0.000000000000000,true
AppDeploymentEntityImpl.java,org.flowable.app.engine.impl.persistence.entity.AppDeploymentEntityImpl,23,5,43,213,0,5,23,0.939400000000000,237,1.000000000000000,0,0.000000000000000,0.179300000000000,0,0,8.913000000000000,true
AppDeploymentEntityManager.java,org.flowable.app.engine.impl.persistence.entity.AppDeploymentEntityManager,6,3,6,15,0,3,6,2.000000000000000,6,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,0.000000000000000,true
AppDeploymentEntityManagerImpl.java,org.flowable.app.engine.impl.persistence.entity.AppDeploymentEntityManagerImpl,11,18,39,37,0,18,9,2.000000000000000,135,0.000000000000000,0,0.000000000000000,0.238600000000000,0,0,11.272700000000000,true
AppEngineEntityConstants.java,org.flowable.app.engine.impl.persistence.entity.AppEngineEntityConstants,1,0,2,0,0,0,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
