javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
MockAppIdentityService.java,com.google.auth.appengine.MockAppIdentityService,15,5,22,67,0,5,15,0.828600000000000,118,1.000000000000000,0,0.000000000000000,0.306700000000000,0,0,6.533300000000000,false
Credentials.java,com.google.auth.Credentials$1,2,2,4,0,0,2,1,0.000000000000000,25,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,10.000000000000000,true
Credentials.java,com.google.auth.Credentials,9,2,14,36,0,2,8,1.125000000000000,40,1.000000000000000,0,0.000000000000000,0.416700000000000,0,0,3.333300000000000,true
RequestMetadataCallback.java,com.google.auth.RequestMetadataCallback,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,false
Retryable.java,com.google.auth.Retryable,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
ServiceAccountSigner.java,com.google.auth.ServiceAccountSigner$SigningException,3,0,8,3,0,0,3,1.500000000000000,52,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,16.000000000000000,false
ServiceAccountSigner.java,com.google.auth.ServiceAccountSigner,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
SigningExceptionTest.java,com.google.auth.SigningExceptionTest,7,2,19,0,0,2,0,0.666700000000000,115,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,15.142900000000000,false
AuthHttpConstants.java,com.google.auth.http.AuthHttpConstants,1,0,2,0,0,0,1,2.000000000000000,6,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
HttpCredentialsAdapter.java,com.google.auth.http.HttpCredentialsAdapter,5,8,34,0,0,8,4,0.583300000000000,150,1.000000000000000,0,0.000000000000000,0.450000000000000,0,0,28.400000000000000,true
HttpTransportFactory.java,com.google.auth.http.HttpTransportFactory,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
InternalAuthHttpConstants.java,com.google.auth.http.InternalAuthHttpConstants,1,0,2,0,0,0,0,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
AccessToken.java,com.google.auth.oauth2.AccessToken,7,2,17,0,0,2,6,0.555600000000000,93,1.000000000000000,0,0.000000000000000,0.357100000000000,0,0,11.857100000000000,true
ActingParty.java,com.google.auth.oauth2.ActingParty,3,1,5,0,0,1,0,0.500000000000000,24,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.333300000000000,false
AwsCredentials.java,com.google.auth.oauth2.AwsCredentials$1,1,1,3,0,0,1,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
AwsCredentials.java,com.google.auth.oauth2.AwsCredentials$AwsCredentialSource,5,1,16,2,0,1,0,0.850000000000000,106,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,19.200000000000000,true
AwsCredentials.java,com.google.auth.oauth2.AwsCredentials$Builder,6,5,6,15,0,5,4,2.000000000000000,27,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,3.500000000000000,true
AwsCredentials.java,com.google.auth.oauth2.AwsCredentials,14,27,83,71,0,27,5,0.942300000000000,453,0.250000000000000,0,0.000000000000000,0.198400000000000,0,0,31.071400000000000,true
AwsDates.java,com.google.auth.oauth2.AwsDates,8,1,18,12,0,1,0,0.678600000000000,107,1.000000000000000,0,0.000000000000000,0.562500000000000,0,0,11.875000000000000,false
AwsRequestSignature.java,com.google.auth.oauth2.AwsRequestSignature$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
AwsRequestSignature.java,com.google.auth.oauth2.AwsRequestSignature$Builder,11,3,14,37,0,3,0,0.900000000000000,94,1.000000000000000,0,0.000000000000000,0.454500000000000,0,0,6.727300000000000,false
AwsRequestSignature.java,com.google.auth.oauth2.AwsRequestSignature,11,2,13,37,0,2,0,0.800000000000000,92,1.000000000000000,0,0.000000000000000,0.327300000000000,0,0,6.545500000000000,false
AwsRequestSigner.java,com.google.auth.oauth2.AwsRequestSigner$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
AwsRequestSigner.java,com.google.auth.oauth2.AwsRequestSigner$Builder,5,4,13,4,0,4,0,0.607100000000000,106,1.000000000000000,0,0.000000000000000,0.480000000000000,0,0,18.800000000000000,false
AwsRequestSigner.java,com.google.auth.oauth2.AwsRequestSigner,11,11,76,43,0,11,0,0.800000000000000,510,1.000000000000000,0,0.000000000000000,0.318200000000000,0,0,44.545500000000000,false
AwsSecurityCredentials.java,com.google.auth.oauth2.AwsSecurityCredentials,4,0,5,0,0,0,0,0.666700000000000,28,1.000000000000000,0,0.000000000000000,0.625000000000000,0,0,5.250000000000000,false
ClientId.java,com.google.auth.oauth2.ClientId$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
ClientId.java,com.google.auth.oauth2.ClientId$Builder,6,2,10,0,0,2,4,0.500000000000000,44,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,6.000000000000000,false
ClientId.java,com.google.auth.oauth2.ClientId,10,7,22,41,0,7,8,0.920600000000000,130,1.000000000000000,0,0.000000000000000,0.216700000000000,0,0,11.300000000000000,false
CloudShellCredentials.java,com.google.auth.oauth2.CloudShellCredentials$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
CloudShellCredentials.java,com.google.auth.oauth2.CloudShellCredentials$Builder,7,5,8,9,0,5,5,0.166700000000000,39,1.000000000000000,0,0.000000000000000,0.428600000000000,0,0,4.428600000000000,true
CloudShellCredentials.java,com.google.auth.oauth2.CloudShellCredentials,14,12,37,59,0,12,9,0.948700000000000,155,1.000000000000000,0,0.000000000000000,0.246200000000000,0,0,9.642900000000000,true
