javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AbstractExpectations.java,org.jmock.AbstractExpectations$1,10,3,12,0,0,3,9,0.000000000000000,71,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.000000000000000,false
AbstractExpectations.java,org.jmock.AbstractExpectations,48,34,97,1068,0,34,44,0.687900000000000,385,1.000000000000000,0,0.000000000000000,0.069700000000000,0,0,6.958300000000000,false
Expectations.java,org.jmock.Expectations,9,2,4,36,0,2,9,2.000000000000000,52,0.000000000000000,0,0.000000000000000,0.944400000000000,0,0,4.777800000000000,true
ExpectationsCreator.java,org.jmock.ExpectationsCreator,4,4,29,4,0,4,3,0.666700000000000,407,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,100.500000000000000,false
Mockery.java,org.jmock.Mockery$1,2,5,4,0,0,5,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,8.500000000000000,true
Mockery.java,org.jmock.Mockery$MockObject,4,10,11,0,0,10,4,0.555600000000000,46,0.666700000000000,0,0.000000000000000,0.375000000000000,0,0,9.750000000000000,true
Mockery.java,org.jmock.Mockery,22,27,63,113,0,27,14,0.798900000000000,327,1.000000000000000,0,0.000000000000000,0.142900000000000,0,0,13.454500000000000,true
Sequence.java,org.jmock.Sequence,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
States.java,org.jmock.States,2,2,2,1,0,2,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
Action.java,org.jmock.api.Action,0,2,0,0,0,2,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
