javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
FastByteBufferBenchmark.java,jodd.buffer.FastByteBufferBenchmark,3,1,10,1,0,1,3,0.500000000000000,44,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,13.333300000000000,false
FastCharBufferBenchmark.java,jodd.buffer.FastCharBufferBenchmark,3,1,10,1,0,1,3,0.500000000000000,47,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,14.333300000000000,false
FastByteBufferBenchmark_fastBuffer_jmhTest.java,jodd.buffer.generated.FastByteBufferBenchmark_fastBuffer_jmhTest,10,17,48,25,0,17,9,1.098900000000000,1222,0.000000000000000,0,0.000000000000000,0.441700000000000,0,0,94.900000000000000,false
FastByteBufferBenchmark_jmhType.java,jodd.buffer.generated.FastByteBufferBenchmark_jmhType,1,1,2,0,0,1,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
FastByteBufferBenchmark_jmhType_B1.java,jodd.buffer.generated.FastByteBufferBenchmark_jmhType_B1,1,1,2,0,0,1,1,2.000000000000000,260,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
FastByteBufferBenchmark_jmhType_B2.java,jodd.buffer.generated.FastByteBufferBenchmark_jmhType_B2,2,1,4,1,0,1,1,1.600000000000000,45,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,14.000000000000000,false
FastByteBufferBenchmark_jmhType_B3.java,jodd.buffer.generated.FastByteBufferBenchmark_jmhType_B3,1,1,2,0,0,1,1,2.000000000000000,260,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
FastByteBufferBenchmark_outputStream_jmhTest.java,jodd.buffer.generated.FastByteBufferBenchmark_outputStream_jmhTest,10,17,48,25,0,17,9,1.098900000000000,1222,0.000000000000000,0,0.000000000000000,0.441700000000000,0,0,94.900000000000000,false
FastCharBufferBenchmark_charArrayWriter_jmhTest.java,jodd.buffer.generated.FastCharBufferBenchmark_charArrayWriter_jmhTest,10,17,48,25,0,17,9,1.098900000000000,1222,0.000000000000000,0,0.000000000000000,0.441700000000000,0,0,94.900000000000000,false
FastCharBufferBenchmark_fastBuffer_jmhTest.java,jodd.buffer.generated.FastCharBufferBenchmark_fastBuffer_jmhTest,10,17,48,25,0,17,9,1.098900000000000,1222,0.000000000000000,0,0.000000000000000,0.441700000000000,0,0,94.900000000000000,false
FastCharBufferBenchmark_jmhType.java,jodd.buffer.generated.FastCharBufferBenchmark_jmhType,1,1,2,0,0,1,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
FastCharBufferBenchmark_jmhType_B1.java,jodd.buffer.generated.FastCharBufferBenchmark_jmhType_B1,1,1,2,0,0,1,1,2.000000000000000,260,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
FastCharBufferBenchmark_jmhType_B2.java,jodd.buffer.generated.FastCharBufferBenchmark_jmhType_B2,2,1,4,1,0,1,1,1.600000000000000,45,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,14.000000000000000,false
FastCharBufferBenchmark_jmhType_B3.java,jodd.buffer.generated.FastCharBufferBenchmark_jmhType_B3,1,1,2,0,0,1,1,2.000000000000000,260,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
TypeCacheBenchmark.java,jodd.cache.TypeCacheBenchmark,10,6,34,0,0,6,9,0.666700000000000,585,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,56.500000000000000,true
TypeCacheBenchmark_jmhType.java,jodd.cache.generated.TypeCacheBenchmark_jmhType,1,1,2,0,0,1,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
