"commit_hash","bug_fixing"
"2f336e73db696e2d867a4cc0d35fbbaeb0a50694","false"
"da78d9f59c5385808e320c4ad153a993f1eecc7e","false"
"216ad92143bdb52e0092f828c24de30345617ee6","false"
"65a98de55bbe6630dff7602cade9487929a19055","false"
"35858911348251c8c9f637dacbd2d8fda62f2a6c","false"
"dc20dec34053275f4496954058c0f531a626f2de","false"
"a0953a1e3d4dfa72afc273c52ccba7b82e9853c6","false"
"d318e1824647b9fc7c3ca9e64e6e27740966bb78","false"
"47323625c71e5e27e8f0b5c660854508c6da0463","false"
"4bafa619bd39feea5ccc9854931e9c1e111b90d4","false"
"061470ac989a0b69eb7ee4bac6a85e0db806b270","false"
"86ce3ba88edbb36988fa2838ed60ab147657c005","false"
"22592ff6d37c2f87be0fb221e3f36050c6f0ba7d","false"
"45d0c6e3e1b501e91a75d68e3f7cbd49275cf534","false"
"8bf59f1028916381a3cf452f3e5279d12ee729ab","false"
"a270136ddee30f5395eaa4d9ff77f6e79dea7410","false"
"0ce1b2b484aa4039f916491ce501c922f217abd2","false"
"a67ca8a8d44bd9320c0d1e9c694be143b5f84b58","false"
"d58eacbe186ddc8e7005feafe4525559ed6162a2","false"
"e3b6e0a22c25b86c6be1cf2d9df7c56f6a63cd97","false"
"4908d49b96b856cf1d30598cf9c585c38bbd1ce8","false"
"0f07931b3597140d056b313f55256eeae8150991","false"
"243a35d53c89783d65ddc1b8c543ff75161a12ad","false"
"8b39770b7c78af0a8dd03f1aec17d7fbdc353138","false"
"c4bf124f2e201b4a562752d302fff4511874abc9","false"
"e77f8e7097412d183a516bdf9816fb3cd9048f55","true"
"be7a184045ae387e5592855b71d6ac5223e2c726","false"
"9d24eb396b50ad814976b72f00acf082881f1fca","false"
"21e9ababbcda39be8011a5718dfa01073cbeb65f","false"
"d0596ddebaa6d36b6bd99be553abfd5e9765a029","false"
"a4eb7aa4f3a9ed5f3b17811d3e01f2e4f64df988","true"
"ff6f98bc3969dc9b2534177681d0348058b6e31b","false"
"2fd8e5e9d5d951d8cc0e490315e7e5ecc58ead58","false"
"da4c4dfb4487f96de94af687ce9d26fe5b55f736","false"
"c9b6fe4841d7ffaa3829579badfcca6287198fa2","false"
"c0ac1fabf85da58b7c19ba083bb539902ba49f27","false"
