"bug_fixing";"filename";"filepath";"bug_introducing"
"e1c14350c2bde7d61860f3820f3181e7c9166140";"FormTag.java";"mod\jodd\src\jodd\servlet\tag\FormTag.java";"{'9735f35d89316e2d3b6db63536dec25615d305b5', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"MethodInfo.java";"mod\jodd-wot\src\jodd\proxetta\MethodInfo.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"Proxetta.java";"mod\jodd-wot\src\jodd\proxetta\Proxetta.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxyPointcut.java";"mod\jodd-wot\src\jodd\proxetta\ProxyPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"AnnotationReader.java";"mod\jodd-wot\src\jodd\proxetta\asm\AnnotationReader.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"EmptyVisitor.java";"mod\jodd-wot\src\jodd\proxetta\asm\EmptyVisitor.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"MethodSignatureVisitor.java";"mod\jodd-wot\src\jodd\proxetta\asm\MethodSignatureVisitor.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxettaAsmUtil.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaAsmUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxettaCreator.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaCreator.java";"{'8f304a0f238952d80e314153342d71d1572c3184', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxyAspectData.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxyAspectData.java";"{'8f304a0f238952d80e314153342d71d1572c3184', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"TargetMethodData.java";"mod\jodd-wot\src\jodd\proxetta\asm\TargetMethodData.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"WorkData.java";"mod\jodd-wot\src\jodd\proxetta\asm\WorkData.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"AllGettersPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllGettersPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"AllMethodsPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllMethodsPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"AllSettersPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllSettersPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"MethodAnnotationPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\MethodAnnotationPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxyPointcutSupport.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\ProxyPointcutSupport.java";"{'8f304a0f238952d80e314153342d71d1572c3184', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"BigClassTest.java";"mod\jodd-wot\test\jodd\proxetta\BigClassTest.java";"{'8f304a0f238952d80e314153342d71d1572c3184', '245f7d52221df5d203fc0681217cd97c08748bc5'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"SubclassTest.java";"mod\jodd-wot\test\jodd\proxetta\SubclassTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"ProxettaExample.java";"mod\samples\src\examples\proxetta\ProxettaExample.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"Aspects.java";"mod\samples\src\examples\proxetta\n\proxy\Aspects.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"TxPointcut.java";"mod\samples\src\examples\proxetta\n\proxy\TxPointcut.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"7a92674ab78530c505d344b41b01becfef01f8cd";"Petite.java";"mod\samples\src\examples\proxetta\petite\Petite.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
