javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AccountsChangeListener.java,com.fsck.k9.AccountsChangeListener,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
FontSizes.java,com.fsck.k9.FontSizes,39,3,43,505,0,3,38,0.973100000000000,489,0.809500000000000,0,0.000000000000000,0.312800000000000,0,0,10.461500000000000,true
QuietTimeChecker.java,com.fsck.k9.QuietTimeChecker,3,1,10,1,0,1,1,0.500000000000000,93,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,29.000000000000000,true
AutocryptGossipHeader.java,com.fsck.k9.autocrypt.AutocryptGossipHeader,4,1,15,0,0,1,2,0.800000000000000,99,0.400000000000000,0,0.000000000000000,0.437500000000000,1,1,22.500000000000000,false
AutocryptGossipHeaderParser.java,com.fsck.k9.autocrypt.AutocryptGossipHeaderParser,7,5,24,19,0,5,1,0.833300000000000,162,1.000000000000000,1,0.000000000000000,0.300000000000000,0,0,22.000000000000000,true
AutocryptHeader.java,com.fsck.k9.autocrypt.AutocryptHeader,5,1,23,0,0,1,2,0.916700000000000,216,0.083300000000000,0,0.000000000000000,0.333300000000000,1,1,39.800000000000000,false
AutocryptHeaderParser.java,com.fsck.k9.autocrypt.AutocryptHeaderParser,7,5,26,19,0,5,1,0.833300000000000,186,1.000000000000000,1,0.000000000000000,0.300000000000000,0,0,25.428600000000000,false
AutocryptOpenPgpApiInteractor.java,com.fsck.k9.autocrypt.AutocryptOpenPgpApiInteractor,5,2,14,10,0,2,3,2.000000000000000,76,0.000000000000000,0,0.000000000000000,0.480000000000000,0,0,14.200000000000000,false
AutocryptOperations.java,com.fsck.k9.autocrypt.AutocryptOperations,13,13,51,74,0,13,7,0.791700000000000,317,1.000000000000000,0,0.000000000000000,0.230800000000000,0,0,23.230800000000000,true
EmailProviderCache.java,com.fsck.k9.cache.EmailProviderCache,13,7,34,36,0,7,10,0.694400000000000,454,1.000000000000000,0,0.000000000000000,0.416700000000000,0,0,33.461500000000000,true
EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,11,4,41,33,0,4,11,0.683300000000000,239,1.000000000000000,0,0.000000000000000,0.309100000000000,0,0,20.181800000000000,true
MemorizingMessagingListener.java,com.fsck.k9.controller.MemorizingMessagingListener$1,1,1,3,0,0,1,0,2.000000000000000,28,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,26.000000000000000,false
MemorizingMessagingListener.java,com.fsck.k9.controller.MemorizingMessagingListener$MemorizingState,4,1,7,4,0,1,2,0.916700000000000,56,0.250000000000000,4,0.866700000000000,0.444400000000000,1,1,12.000000000000000,false
MemorizingMessagingListener.java,com.fsck.k9.controller.MemorizingMessagingListener$Memory,1,2,2,0,0,2,0,2.000000000000000,28,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,21.000000000000000,false
MemorizingMessagingListener.java,com.fsck.k9.controller.MemorizingMessagingListener,9,6,33,24,0,6,4,0.125000000000000,206,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,21.777800000000000,false
MessageReferenceHelper.java,com.fsck.k9.controller.MessageReferenceHelper,3,2,14,3,0,2,3,2.000000000000000,69,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,22.000000000000000,false
MessagingController.java,com.fsck.k9.controller.MessagingController$1,2,1,4,0,0,1,1,0.000000000000000,13,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$10,3,5,6,0,0,5,2,0.666700000000000,27,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,7.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$11$1,2,7,11,0,0,7,1,0.000000000000000,48,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,22.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$11,2,7,15,0,0,7,1,0.166700000000000,90,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,41.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$12,2,4,8,0,0,4,1,0.000000000000000,41,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,18.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$13,1,1,3,0,0,1,0,2.000000000000000,28,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,26.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$2,3,3,6,0,0,3,2,0.000000000000000,24,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.666700000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$3,2,4,5,0,0,4,1,0.000000000000000,26,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,11.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$4,2,3,4,0,0,3,1,0.000000000000000,38,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,15.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$5,2,3,4,0,0,3,1,0.000000000000000,38,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,15.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$6$1,2,4,8,0,0,4,1,0.000000000000000,27,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,12.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$6,2,16,23,0,0,16,1,0.000000000000000,133,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,63.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$7,2,2,7,0,0,2,1,0.000000000000000,44,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,20.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$8$1,2,3,8,0,0,3,1,0.500000000000000,36,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,16.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$8,2,6,5,0,0,6,1,0.000000000000000,20,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,8.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$9,2,10,24,0,0,10,1,0.000000000000000,98,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,47.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$Command,4,3,7,4,0,3,2,0.933300000000000,46,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,9.250000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$ControllerSyncListener,14,16,57,0,0,16,12,0.549500000000000,490,0.714300000000000,0,0.000000000000000,0.285700000000000,0,0,33.500000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$MessageActor,1,2,1,0,0,2,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
MessagingController.java,com.fsck.k9.controller.MessagingController$MoveOrCopyFlavor,4,1,7,4,0,1,2,0.916700000000000,56,0.250000000000000,4,0.866700000000000,0.444400000000000,1,1,12.000000000000000,true
MessagingControllerCommands.java,com.fsck.k9.controller.MessagingControllerCommands$PendingAppend,4,5,7,6,0,5,3,0.666700000000000,31,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,6.250000000000000,false
MessagingControllerCommands.java,com.fsck.k9.controller.MessagingControllerCommands$PendingCommand,3,3,4,3,0,3,2,1.500000000000000,7,0.000000000000000,0,0.000000000000000,0.555600000000000,0,0,1.000000000000000,false
MessagingControllerCommands.java,com.fsck.k9.controller.MessagingControllerCommands$PendingDelete,4,5,7,6,0,5,3,0.666700000000000,30,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,6.000000000000000,false
MessagingControllerCommands.java,com.fsck.k9.controller.MessagingControllerCommands$PendingEmptyTrash,4,4,6,6,0,4,4,2.000000000000000,17,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,3.250000000000000,false
MessagingControllerCommands.java,com.fsck.k9.controller.MessagingControllerCommands$PendingExpunge,4,4,6,6,0,4,3,0.666700000000000,23,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,4.500000000000000,false
