javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AbstractFileCallable.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileCallable,3,2,4,1,0,2,3,0.500000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,3.333300000000000,false
AbstractFileCompressStep.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileCompressStep,11,1,12,37,0,1,11,0.860000000000000,60,1.000000000000000,0,0.000000000000000,0.484800000000000,0,0,4.000000000000000,false
AbstractFileDecompressStep.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileDecompressStep,9,1,10,20,0,1,9,0.812500000000000,50,1.000000000000000,0,0.000000000000000,0.481500000000000,0,0,4.111100000000000,false
AbstractFileOrTextStep.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileOrTextStep,3,1,4,1,0,1,3,0.500000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,3.333300000000000,false
AbstractFileOrTextStepDescriptorImpl.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileOrTextStepDescriptorImpl,5,5,16,10,0,5,4,2.000000000000000,49,0.000000000000000,0,0.000000000000000,0.800000000000000,0,0,8.800000000000000,false
AbstractFileOrTextStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileOrTextStepExecution,3,6,9,1,0,6,0,0.750000000000000,35,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,10.000000000000000,false
AbstractFileStep.java,org.jenkinsci.plugins.pipeline.utility.steps.AbstractFileStep,3,1,4,1,0,1,3,0.500000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,3.333300000000000,false
CompareVersionsStep.java,org.jenkinsci.plugins.pipeline.utility.steps.CompareVersionsStep$DescriptorImpl,4,2,7,6,0,2,4,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.250000000000000,true
CompareVersionsStep.java,org.jenkinsci.plugins.pipeline.utility.steps.CompareVersionsStep$ExecutionImpl,3,5,8,1,0,5,0,0.000000000000000,88,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,27.333300000000000,true
CompareVersionsStep.java,org.jenkinsci.plugins.pipeline.utility.steps.CompareVersionsStep,6,4,8,0,0,4,6,0.533300000000000,45,1.000000000000000,0,0.000000000000000,0.375000000000000,0,0,6.000000000000000,true
CompressStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.CompressStepExecution,5,14,37,4,0,14,0,0.500000000000000,283,0.666700000000000,0,0.000000000000000,0.437500000000000,0,0,55.000000000000000,false
DecompressStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.DecompressStepExecution,5,8,25,0,0,8,0,0.583300000000000,169,0.666700000000000,0,0.000000000000000,0.375000000000000,0,0,32.200000000000000,false
ReadPropertiesStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadPropertiesStep$DescriptorImpl,3,1,4,3,0,1,3,2.000000000000000,10,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.333300000000000,false
ReadPropertiesStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadPropertiesStep,6,4,10,11,0,4,6,0.800000000000000,33,1.000000000000000,0,0.000000000000000,0.375000000000000,0,0,4.166700000000000,false
ReadPropertiesStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadPropertiesStepExecution,7,10,48,17,0,10,0,0.722200000000000,232,0.666700000000000,0,0.000000000000000,0.333300000000000,0,0,31.714300000000000,true
ReadYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadYamlStep$DescriptorImpl,3,1,4,3,0,1,3,2.000000000000000,10,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.333300000000000,false
ReadYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadYamlStep$Execution,2,11,34,0,0,11,0,1.000000000000000,159,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,77.500000000000000,false
ReadYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.ReadYamlStep,2,4,4,1,0,4,2,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,4.500000000000000,false
WriteYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.WriteYamlStep$DescriptorImpl,4,2,6,6,0,2,4,2.000000000000000,14,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.500000000000000,true
WriteYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.WriteYamlStep$Execution,3,9,33,1,0,9,0,0.750000000000000,148,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,47.666700000000000,true
WriteYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.WriteYamlStep$ReturnTextExecution,3,6,12,1,0,6,0,0.750000000000000,64,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,19.666700000000000,true
WriteYamlStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.WriteYamlStep,17,6,29,102,0,6,16,0.864600000000000,232,1.000000000000000,0,0.000000000000000,0.274500000000000,0,0,12.294100000000000,true
ReadManifestStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.mf.ReadManifestStep$DescriptorImpl,3,1,4,3,0,1,3,2.000000000000000,10,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.333300000000000,false
ReadManifestStep.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.mf.ReadManifestStep,2,4,4,1,0,4,2,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,4.500000000000000,false
ReadManifestStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.mf.ReadManifestStepExecution,5,10,34,8,0,10,0,0.875000000000000,208,1.000000000000000,0,0.000000000000000,0.450000000000000,0,0,40.200000000000000,true
SimpleManifest.java,org.jenkinsci.plugins.pipeline.utility.steps.conf.mf.SimpleManifest,6,0,20,11,0,0,2,0.800000000000000,118,1.000000000000000,0,0.000000000000000,0.444400000000000,0,0,18.166700000000000,false
ReadCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.ReadCSVStep$DescriptorImpl,3,2,5,3,0,2,3,2.000000000000000,10,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.333300000000000,false
ReadCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.ReadCSVStep$PackageAutoImporter,2,3,4,1,0,3,2,2.000000000000000,15,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.500000000000000,false
ReadCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.ReadCSVStep$WhiteLister,8,1,17,28,0,1,8,2.000000000000000,115,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,13.375000000000000,false
ReadCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.ReadCSVStep,4,5,6,0,0,5,4,0.833300000000000,25,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,4.750000000000000,false
ReadCSVStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.ReadCSVStepExecution,4,10,24,0,0,10,0,0.666700000000000,122,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,29.000000000000000,false
WriteCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.WriteCSVStep$DescriptorImpl,4,3,7,6,0,3,4,2.000000000000000,15,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.750000000000000,false
WriteCSVStep.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.WriteCSVStep,6,6,9,5,0,6,6,0.733300000000000,41,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,5.333300000000000,false
WriteCSVStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.csv.WriteCSVStepExecution,4,9,28,2,0,9,0,0.666700000000000,123,0.666700000000000,0,0.000000000000000,0.555600000000000,0,0,29.000000000000000,false
ComputeHashCallable.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.ComputeHashCallable,5,2,22,8,0,2,4,0.250000000000000,131,1.000000000000000,0,0.000000000000000,0.480000000000000,0,0,25.000000000000000,false
FileHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileHashStep$DescriptorImpl,5,3,15,4,0,3,5,0.500000000000000,42,1.000000000000000,0,0.000000000000000,0.700000000000000,0,0,7.200000000000000,true
FileHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileHashStep$ExecutionImpl,3,6,10,1,0,6,0,0.750000000000000,37,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,10.666700000000000,true
FileHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileHashStep,4,6,8,2,0,6,4,0.666700000000000,36,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,7.500000000000000,true
FileSha1Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileSha1Step$DescriptorImpl,1,1,2,0,0,1,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,true
FileSha1Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileSha1Step,1,2,2,0,0,2,1,2.000000000000000,6,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,true
FileSha256Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileSha256Step$DescriptorImpl,1,1,2,0,0,1,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,false
FileSha256Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileSha256Step,1,2,2,0,0,2,1,2.000000000000000,6,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
FileVerifyHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifyHashStep$DescriptorImpl,6,3,15,9,0,3,6,0.600000000000000,56,1.000000000000000,0,0.000000000000000,0.750000000000000,0,0,8.166700000000000,true
FileVerifyHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifyHashStep$ExecutionImpl,3,7,17,1,0,7,1,0.750000000000000,85,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,26.666700000000000,true
FileVerifyHashStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifyHashStep,5,6,9,4,0,6,5,0.750000000000000,53,1.000000000000000,0,0.000000000000000,0.466700000000000,0,0,9.000000000000000,true
FileVerifySha1Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifySha1Step$DescriptorImpl,1,1,2,0,0,1,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,false
FileVerifySha1Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifySha1Step,1,2,2,0,0,2,1,2.000000000000000,7,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,6.000000000000000,false
FileVerifySha256Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifySha256Step$DescriptorImpl,1,1,2,0,0,1,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,false
FileVerifySha256Step.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileVerifySha256Step,1,2,2,0,0,2,1,2.000000000000000,7,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,6.000000000000000,false
FileWrapper.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FileWrapper,11,1,25,45,0,1,9,0.716700000000000,125,1.000000000000000,0,0.000000000000000,0.257600000000000,0,0,9.818200000000000,false
FindFilesStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FindFilesStep$DescriptorImpl,4,2,6,6,0,2,4,2.000000000000000,15,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.750000000000000,false
FindFilesStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FindFilesStep,6,4,8,11,0,4,6,0.800000000000000,31,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,3.833300000000000,false
FindFilesStepExecution.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.FindFilesStepExecution,4,6,17,2,0,6,0,0.666700000000000,83,0.666700000000000,0,0.000000000000000,0.555600000000000,0,0,19.000000000000000,false
PrependToFileStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.PrependToFileStep$DescriptorImpl,6,3,11,15,0,3,6,2.000000000000000,32,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.333300000000000,true
PrependToFileStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.PrependToFileStep$ExecutionImpl,4,5,25,2,0,5,0,0.666700000000000,100,0.666700000000000,0,0.000000000000000,0.555600000000000,0,0,23.250000000000000,true
PrependToFileStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.PrependToFileStep,4,6,8,2,0,6,4,0.666700000000000,45,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,9.750000000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep$1,3,3,16,3,0,3,2,1.500000000000000,59,1.000000000000000,0,0.000000000000000,0.777800000000000,0,0,18.333300000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep$DescriptorImpl,5,1,7,10,0,1,5,2.000000000000000,17,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,2.400000000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep$Execution,2,9,13,0,0,9,1,1.000000000000000,45,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,20.500000000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep$TeeFilter,5,6,14,0,0,6,1,0.562500000000000,88,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,15.800000000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep$TeeTail,2,3,4,0,0,3,0,1.000000000000000,14,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,true
TeeStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TeeStep,4,7,8,4,0,7,2,0.666700000000000,33,0.000000000000000,0,0.000000000000000,0.400000000000000,0,0,7.000000000000000,true
TouchStep.java,org.jenkinsci.plugins.pipeline.utility.steps.fs.TouchStep$DescriptorImpl,5,3,10,10,0,3,5,2.000000000000000,23,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,3.600000000000000,true
