javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
Generated.java,javax.annotation.Generated,3,0,3,3,0,0,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
PostConstruct.java,javax.annotation.PostConstruct,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
PreDestroy.java,javax.annotation.PreDestroy,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
Resources.java,javax.annotation.Resources,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
DeclareRoles.java,javax.annotation.security.DeclareRoles,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
DenyAll.java,javax.annotation.security.DenyAll,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
PermitAll.java,javax.annotation.security.PermitAll,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
RolesAllowed.java,javax.annotation.security.RolesAllowed,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
RunAs.java,javax.annotation.security.RunAs,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BytesMessage.java,javax.jms.BytesMessage,27,0,27,351,0,0,27,2.000000000000000,27,0.000000000000000,0,0.000000000000000,0.132700000000000,0,0,0.000000000000000,false
ConnectionConsumer.java,javax.jms.ConnectionConsumer,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
ConnectionFactory.java,javax.jms.ConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
ConnectionMetaData.java,javax.jms.ConnectionMetaData,8,0,8,28,0,0,8,2.000000000000000,8,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
DeliveryMode.java,javax.jms.DeliveryMode,0,0,0,0,0,0,0,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
ExceptionListener.java,javax.jms.ExceptionListener,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
IllegalStateException.java,javax.jms.IllegalStateException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
InvalidClientIDException.java,javax.jms.InvalidClientIDException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
InvalidDestinationException.java,javax.jms.InvalidDestinationException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
InvalidSelectorException.java,javax.jms.InvalidSelectorException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
JMSException.java,javax.jms.JMSException,5,0,6,0,0,0,5,0.375000000000000,35,1.000000000000000,0,0.000000000000000,0.533300000000000,0,0,5.600000000000000,false
JMSSecurityException.java,javax.jms.JMSSecurityException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
MapMessage.java,javax.jms.MapMessage,25,0,25,300,0,0,25,2.000000000000000,25,0.000000000000000,0,0.000000000000000,0.203300000000000,0,0,0.000000000000000,false
MessageConsumer.java,javax.jms.MessageConsumer,7,0,7,21,0,0,7,2.000000000000000,7,0.000000000000000,0,0.000000000000000,0.428600000000000,0,0,0.000000000000000,false
MessageEOFException.java,javax.jms.MessageEOFException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
MessageFormatException.java,javax.jms.MessageFormatException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
MessageListener.java,javax.jms.MessageListener,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
MessageNotReadableException.java,javax.jms.MessageNotReadableException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
MessageNotWriteableException.java,javax.jms.MessageNotWriteableException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
MessageProducer.java,javax.jms.MessageProducer,16,0,16,120,0,0,16,2.000000000000000,16,0.000000000000000,0,0.000000000000000,0.322900000000000,0,0,0.000000000000000,false
ObjectMessage.java,javax.jms.ObjectMessage,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
QueueBrowser.java,javax.jms.QueueBrowser,4,0,4,6,0,0,4,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
QueueConnection.java,javax.jms.QueueConnection,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,false
QueueConnectionFactory.java,javax.jms.QueueConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
QueueReceiver.java,javax.jms.QueueReceiver,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
QueueRequestor.java,javax.jms.QueueRequestor,11,0,21,47,0,0,3,0.675000000000000,90,1.000000000000000,0,0.000000000000000,0.233800000000000,0,0,6.818200000000000,false
QueueSender.java,javax.jms.QueueSender,5,0,5,10,0,0,5,2.000000000000000,5,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,0.000000000000000,false
QueueSession.java,javax.jms.QueueSession,7,0,7,21,0,0,7,2.000000000000000,7,0.000000000000000,0,0.000000000000000,0.714300000000000,0,0,0.000000000000000,false
ResourceAllocationException.java,javax.jms.ResourceAllocationException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
ServerSession.java,javax.jms.ServerSession,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
ServerSessionPool.java,javax.jms.ServerSessionPool,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
Session.java,javax.jms.Session,30,0,30,435,0,0,30,1.034500000000000,34,0.000000000000000,0,0.000000000000000,0.212500000000000,0,0,0.000000000000000,false
StreamMessage.java,javax.jms.StreamMessage,24,0,24,276,0,0,24,2.000000000000000,24,0.000000000000000,0,0.000000000000000,0.131900000000000,0,0,0.000000000000000,false
TemporaryQueue.java,javax.jms.TemporaryQueue,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
TemporaryTopic.java,javax.jms.TemporaryTopic,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
TextMessage.java,javax.jms.TextMessage,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
TopicConnection.java,javax.jms.TopicConnection,3,0,3,3,0,0,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.722200000000000,0,0,0.000000000000000,false
TopicConnectionFactory.java,javax.jms.TopicConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
TopicPublisher.java,javax.jms.TopicPublisher,5,0,5,10,0,0,5,2.000000000000000,5,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,0.000000000000000,false
TopicRequestor.java,javax.jms.TopicRequestor,13,0,22,68,0,0,3,0.750000000000000,96,1.000000000000000,0,0.000000000000000,0.230800000000000,0,0,6.000000000000000,false
TopicSession.java,javax.jms.TopicSession,8,0,8,28,0,0,8,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,0.000000000000000,false
TopicSubscriber.java,javax.jms.TopicSubscriber,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
TransactionInProgressException.java,javax.jms.TransactionInProgressException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
TransactionRolledBackException.java,javax.jms.TransactionRolledBackException,2,0,3,1,0,0,2,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
XAConnection.java,javax.jms.XAConnection,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,false
XAConnectionFactory.java,javax.jms.XAConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
XAQueueConnection.java,javax.jms.XAQueueConnection,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,false
XAQueueConnectionFactory.java,javax.jms.XAQueueConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
XAQueueSession.java,javax.jms.XAQueueSession,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
XASession.java,javax.jms.XASession,5,0,5,10,0,0,5,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
XATopicConnection.java,javax.jms.XATopicConnection,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,false
XATopicConnectionFactory.java,javax.jms.XATopicConnectionFactory,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
XATopicSession.java,javax.jms.XATopicSession,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
ListenerRegistration.java,javax.management.j2ee.ListenerRegistration,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.800000000000000,0,0,0.000000000000000,false
Management.java,javax.management.j2ee.Management,11,0,11,55,0,0,11,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.306800000000000,0,0,0.000000000000000,false
ManagementHome.java,javax.management.j2ee.ManagementHome,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
