javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AcquireLockException.java,io.ebean.AcquireLockException,1,0,2,0,0,0,1,2.000000000000000,7,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
AutoTune.java,io.ebean.AutoTune,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
AutoTune.java,io.ebean.AutoTune,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BackgroundExecutor.java,io.ebean.BackgroundExecutor,7,0,7,21,0,0,7,2.000000000000000,7,0.000000000000000,0,0.000000000000000,0.628600000000000,0,0,0.000000000000000,false
BeanFinder.java,io.ebean.BeanFinder,14,5,28,17,0,5,9,0.230800000000000,100,1.000000000000000,0,0.000000000000000,0.328600000000000,0,0,6.000000000000000,false
BeanRepository.java,io.ebean.BeanRepository,13,5,28,78,0,5,12,2.000000000000000,81,0.000000000000000,0,0.000000000000000,0.318700000000000,0,0,5.230800000000000,false
BeanState.java,io.ebean.BeanState,16,0,16,120,0,0,16,2.000000000000000,16,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,0.000000000000000,true
CacheMode.java,io.ebean.CacheMode,7,1,10,13,0,1,4,0.791700000000000,107,0.375000000000000,6,0.000000000000000,0.291700000000000,0,0,13.142900000000000,false
CallableSql.java,io.ebean.CallableSql,12,0,12,66,0,0,12,2.000000000000000,12,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,0.000000000000000,false
CountDistinctOrder.java,io.ebean.CountDistinctOrder,5,1,8,6,0,1,2,0.750000000000000,103,0.125000000000000,8,0.000000000000000,0.333300000000000,0,0,18.000000000000000,false
Database.java,io.ebean.Database,111,26,111,6105,0,26,111,2.000000000000000,111,0.000000000000000,0,0.000000000000000,0.108100000000000,0,0,0.000000000000000,false
DataIntegrityException.java,io.ebean.DataIntegrityException,1,0,2,0,0,0,1,2.000000000000000,7,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,false
DB.java,io.ebean.DB,71,22,142,2473,0,22,68,0.014300000000000,364,1.000000000000000,0,0.000000000000000,0.060300000000000,0,0,4.112700000000000,false
