javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
Ad.java,com.facebook.ads.sdk.Ad$1,2,6,4,1,0,6,1,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestCreateAdLabel$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestCreateAdLabel,30,12,38,425,0,12,29,0.896600000000000,252,0.000000000000000,0,0.000000000000000,0.290600000000000,0,0,7.300000000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestCreateCopy$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestCreateCopy,31,13,39,455,0,13,30,0.900000000000000,264,0.000000000000000,0,0.000000000000000,0.254200000000000,0,0,7.419400000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestDelete$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestDelete,26,11,34,315,0,11,25,0.880000000000000,211,0.000000000000000,0,0.000000000000000,0.291400000000000,0,0,7.000000000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGet$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGet,104,13,112,5346,0,13,103,0.970900000000000,890,0.000000000000000,0,0.000000000000000,0.186600000000000,0,0,7.528800000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGetAdCreatives$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGetAdCreatives,146,11,153,10575,0,11,145,0.979300000000000,1230,0.000000000000000,0,0.000000000000000,0.227600000000000,0,0,7.404100000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGetAdRulesGoverned$1,3,4,8,1,0,4,2,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.333300000000000,true
Ad.java,com.facebook.ads.sdk.Ad$APIRequestGetAdRulesGoverned,48,11,55,1118,0,11,47,0.936200000000000,400,0.000000000000000,0,0.000000000000000,0.226100000000000,0,0,7.270800000000000,true
