javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
CLCamera.java,cl.eye.CLCamera,23,0,26,191,0,0,13,0.985300000000000,216,0.129000000000000,0,0.000000000000000,0.284100000000000,0,0,7.043500000000000,false
AndroidFrameConverter.java,org.bytedeco.javacv.AndroidFrameConverter$1,1,1,3,0,0,1,0,2.000000000000000,35,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,33.000000000000000,false
AndroidFrameConverter.java,org.bytedeco.javacv.AndroidFrameConverter,9,5,36,22,0,5,6,0.687500000000000,689,0.000000000000000,0,0.000000000000000,0.321400000000000,0,0,75.111100000000000,false
BaseChildSettings.java,org.bytedeco.javacv.BaseChildSettings$PropertyVetoExceptionThatNetBeansLikes$1,2,1,4,0,0,1,0,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,13.000000000000000,false
BaseChildSettings.java,org.bytedeco.javacv.BaseChildSettings$PropertyVetoExceptionThatNetBeansLikes,2,1,7,1,0,1,2,2.000000000000000,27,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,12.500000000000000,false
BaseChildSettings.java,org.bytedeco.javacv.BaseChildSettings,6,0,10,13,0,0,5,2.000000000000000,32,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,4.333300000000000,false
BaseSettings.java,org.bytedeco.javacv.BaseSettings,8,1,17,26,0,1,7,2.000000000000000,113,0.000000000000000,0,0.000000000000000,0.325000000000000,0,0,13.125000000000000,false
Blobs.java,org.bytedeco.javacv.Blobs,14,2,31,0,0,2,13,0.702700000000000,2151,0.000000000000000,0,0.000000000000000,0.423100000000000,0,0,150.000000000000000,false
BufferRing.java,org.bytedeco.javacv.BufferRing$BufferFactory,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BufferRing.java,org.bytedeco.javacv.BufferRing$ReleasableBuffer,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
BufferRing.java,org.bytedeco.javacv.BufferRing,7,2,10,0,0,2,7,0.250000000000000,103,1.000000000000000,0,0.000000000000000,0.523800000000000,0,0,13.428600000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$CalibratedSettings$1,2,2,4,0,0,2,1,0.000000000000000,16,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,6.500000000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$CalibratedSettings,37,6,76,0,0,6,37,0.000000000000000,225,0.000000000000000,0,0.000000000000000,0.148600000000000,0,0,5.054100000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$CalibrationSettings$1,2,2,4,0,0,2,1,0.000000000000000,16,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,6.500000000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$CalibrationSettings,37,6,76,0,0,6,37,0.000000000000000,225,0.000000000000000,0,0.000000000000000,0.148600000000000,0,0,5.054100000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$Settings,37,1,37,666,0,1,37,2.000000000000000,37,0.000000000000000,0,0.000000000000000,0.151400000000000,0,0,0.000000000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice$SettingsImplementation,33,4,50,346,0,4,33,0.863800000000000,705,0.000000000000000,0,0.000000000000000,0.148500000000000,0,0,19.939400000000000,false
CameraDevice.java,org.bytedeco.javacv.CameraDevice,10,16,72,25,0,16,10,0.333300000000000,386,1.000000000000000,0,0.000000000000000,0.340000000000000,0,0,37.500000000000000,false
CameraSettings.java,org.bytedeco.javacv.CameraSettings,10,4,27,27,0,4,10,0.666700000000000,144,0.000000000000000,0,0.000000000000000,0.280000000000000,0,0,13.100000000000000,false
CanvasFrame.java,org.bytedeco.javacv.CanvasFrame$1,2,1,25,0,0,1,1,0.000000000000000,156,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,75.000000000000000,true
CanvasFrame.java,org.bytedeco.javacv.CanvasFrame$1MovedListener,2,0,5,0,0,0,1,0.000000000000000,30,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,13.500000000000000,true
