javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
ArraySwap.java,com.ql.util.express.ArraySwap,3,1,4,1,0,1,3,0.666700000000000,27,0.666700000000000,0,0.000000000000000,0.666700000000000,0,0,7.000000000000000,false
CacheObject.java,com.ql.util.express.CacheObject,7,1,8,15,0,1,7,0.833300000000000,34,1.000000000000000,0,0.000000000000000,0.476200000000000,0,0,3.428600000000000,false
CallResult.java,com.ql.util.express.CallResult,5,0,6,0,0,0,5,0.250000000000000,34,1.000000000000000,0,0.000000000000000,0.600000000000000,0,0,5.400000000000000,false
DefaultContext.java,com.ql.util.express.DefaultContext,1,1,2,0,0,1,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
DefaultExpressResourceLoader.java,com.ql.util.express.DefaultExpressResourceLoader,2,2,16,1,0,2,2,2.000000000000000,67,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,32.500000000000000,false
DynamicParamsUtil.java,com.ql.util.express.DynamicParamsUtil,5,4,14,8,0,4,2,0.750000000000000,179,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,34.600000000000000,false
ExportItem.java,com.ql.util.express.ExportItem,9,0,13,0,0,0,9,0.843800000000000,93,0.375000000000000,0,0.000000000000000,0.777800000000000,0,0,8.444400000000000,false
ExpressLoader.java,com.ql.util.express.ExpressLoader,7,6,42,0,0,6,7,0.333300000000000,244,0.500000000000000,0,0.000000000000000,0.464300000000000,0,0,33.571400000000000,false
ExpressRemoteCacheRunner.java,com.ql.util.express.ExpressRemoteCacheRunner,6,5,16,15,0,5,6,2.000000000000000,72,0.000000000000000,0,0.000000000000000,0.357100000000000,0,0,11.000000000000000,false
ExpressUtil.java,com.ql.util.express.ExpressUtil,32,7,112,484,0,7,24,1.011600000000000,2112,0.160000000000000,0,0.000000000000000,0.150500000000000,0,0,64.218800000000000,true
IExpressContext.java,com.ql.util.express.IExpressContext,2,0,2,1,0,0,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
IExpressResourceLoader.java,com.ql.util.express.IExpressResourceLoader,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
InstructionSet.java,com.ql.util.express.InstructionSet,30,19,83,245,0,19,27,0.925700000000000,705,0.692300000000000,0,0.000000000000000,0.145900000000000,0,0,22.066700000000000,true
