javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
ActivityService.java,stroom.activity.api.ActivityService,7,3,7,21,0,3,7,2.000000000000000,7,0.000000000000000,0,0.000000000000000,0.428600000000000,0,0,0.000000000000000,true
FindActivityCriteria.java,stroom.activity.api.FindActivityCriteria,7,2,9,9,0,2,7,0.583300000000000,46,1.000000000000000,0,0.000000000000000,0.428600000000000,0,0,5.285700000000000,true
ActivityDao.java,stroom.activity.impl.ActivityDao,2,2,2,1,0,2,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,0.000000000000000,true
ActivityDaoModule.java,stroom.activity.impl.db.ActivityDaoModule,2,3,6,1,0,3,1,2.000000000000000,14,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,6.000000000000000,false
ActivityDbConnProvider.java,stroom.activity.impl.db.ActivityDbConnProvider,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
ActivityDbModule.java,stroom.activity.impl.db.ActivityDbModule,8,6,13,28,0,6,1,1.142900000000000,41,1.000000000000000,0,0.000000000000000,0.625000000000000,0,0,3.750000000000000,true
ActivityDbModule.java,stroom.activity.impl.db.ActivityDbModule$DataSourceImpl,1,2,2,0,0,2,0,2.000000000000000,6,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,true
ActivitySerialiser.java,stroom.activity.impl.db.ActivitySerialiser,5,8,19,4,0,8,0,0.500000000000000,93,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,17.400000000000000,true
ActivityRecord.java,stroom.activity.impl.db.jooq.tables.records.ActivityRecord,84,12,73,3486,0,12,84,1.012000000000000,484,1.000000000000000,0,0.000000000000000,0.204100000000000,0,0,4.750000000000000,false
MockActivityModule.java,stroom.activity.mock.MockActivityModule,2,3,5,1,0,3,1,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.000000000000000,true
MockCurrentActivity.java,stroom.activity.mock.MockCurrentActivity,3,2,4,3,0,2,3,2.000000000000000,9,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,2.000000000000000,false
AlertDefinition.java,stroom.alert.api.AlertDefinition,5,1,7,0,0,1,5,0.666700000000000,39,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,6.200000000000000,false
