javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
BarcodeFormat.java,com.google.zxing.BarcodeFormat,5,1,8,6,0,1,2,0.750000000000000,213,0.055600000000000,18,0.000000000000000,0.333300000000000,0,0,38.000000000000000,false
Binarizer.java,com.google.zxing.Binarizer,7,4,10,9,0,4,6,0.500000000000000,25,1.000000000000000,0,0.000000000000000,0.392900000000000,0,0,2.428600000000000,true
BinaryBitmap.java,com.google.zxing.BinaryBitmap,11,5,25,0,0,5,11,0.450000000000000,111,1.000000000000000,0,0.000000000000000,0.340900000000000,0,0,8.909100000000000,true
ChecksumException.java,com.google.zxing.ChecksumException,5,1,8,4,0,1,2,0.500000000000000,38,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,6.400000000000000,true
DecodeHintType.java,com.google.zxing.DecodeHintType,6,1,9,9,0,1,3,0.785700000000000,178,0.142900000000000,13,0.000000000000000,0.300000000000000,0,0,26.333300000000000,false
Dimension.java,com.google.zxing.Dimension,6,0,12,0,0,0,6,0.200000000000000,74,1.000000000000000,0,0.000000000000000,0.444400000000000,0,0,11.000000000000000,false
EncodeHintType.java,com.google.zxing.EncodeHintType,5,1,8,6,0,1,2,0.750000000000000,235,0.050000000000000,20,0.000000000000000,0.333300000000000,0,0,42.000000000000000,false
FormatException.java,com.google.zxing.FormatException,5,1,8,4,0,1,2,0.500000000000000,38,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,6.400000000000000,true
InvertedLuminanceSource.java,com.google.zxing.InvertedLuminanceSource,9,1,21,0,0,1,9,0.000000000000000,118,1.000000000000000,0,0.000000000000000,0.361100000000000,0,0,12.000000000000000,false
LuminanceSource.java,com.google.zxing.LuminanceSource,12,1,18,56,0,1,11,0.818200000000000,126,1.000000000000000,0,0.000000000000000,0.444400000000000,0,0,9.333300000000000,false
MultiFormatReader.java,com.google.zxing.MultiFormatReader,8,14,27,14,0,14,6,0.381000000000000,335,1.000000000000000,0,0.000000000000000,0.619000000000000,0,0,40.500000000000000,true
MultiFormatWriter.java,com.google.zxing.MultiFormatWriter,3,18,24,3,0,18,3,2.000000000000000,104,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,33.666700000000000,false
MultiFormatWriter.java,com.google.zxing.MultiFormatWriter$1,1,1,3,0,0,1,0,2.000000000000000,98,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,96.000000000000000,false
NotFoundException.java,com.google.zxing.NotFoundException,3,1,5,1,0,1,1,0.500000000000000,23,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,6.333300000000000,true
PlanarYUVLuminanceSource.java,com.google.zxing.PlanarYUVLuminanceSource,9,1,18,6,0,1,8,0.562500000000000,343,1.000000000000000,0,0.000000000000000,0.444400000000000,0,0,36.444400000000000,true
Reader.java,com.google.zxing.Reader,3,5,3,3,0,5,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,0.000000000000000,true
ReaderException.java,com.google.zxing.ReaderException,5,0,8,8,0,0,2,0.875000000000000,30,1.000000000000000,0,0.000000000000000,0.416700000000000,0,0,4.600000000000000,true
Result.java,com.google.zxing.Result,14,3,20,59,0,3,14,0.802200000000000,163,1.000000000000000,0,0.000000000000000,0.235700000000000,0,0,10.142900000000000,false
ResultMetadataType.java,com.google.zxing.ResultMetadataType,5,1,8,6,0,1,2,0.750000000000000,158,0.076900000000000,13,0.000000000000000,0.333300000000000,0,0,28.000000000000000,false
ResultPoint.java,com.google.zxing.ResultPoint,9,1,17,0,0,1,8,0.125000000000000,217,1.000000000000000,0,0.000000000000000,0.244400000000000,0,0,22.888900000000000,true
ResultPointCallback.java,com.google.zxing.ResultPointCallback,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
RGBLuminanceSource.java,com.google.zxing.RGBLuminanceSource,6,1,15,0,0,1,5,0.240000000000000,253,1.000000000000000,0,0.000000000000000,0.541700000000000,0,0,40.333300000000000,true
Writer.java,com.google.zxing.Writer,2,3,2,1,0,3,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.900000000000000,0,0,0.000000000000000,false
