javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
BusinessConfig.java,org.seedstack.business.BusinessConfig$DataConfig,7,0,8,3,0,0,7,0.666700000000000,46,1.000000000000000,0,0.000000000000000,0.714300000000000,0,0,5.142900000000000,false
BusinessConfig.java,org.seedstack.business.BusinessConfig$PaginationConfig,3,0,4,0,0,0,3,0.000000000000000,18,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.666700000000000,false
BusinessConfig.java,org.seedstack.business.BusinessConfig,3,2,6,0,0,2,3,0.500000000000000,24,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,6.333300000000000,false
BaseAssembler.java,org.seedstack.business.assembler.BaseAssembler,8,8,15,16,0,8,7,0.285700000000000,61,1.000000000000000,0,0.000000000000000,0.468800000000000,0,0,6.500000000000000,true
BaseTupleAssembler.java,org.seedstack.business.assembler.BaseTupleAssembler,8,8,15,16,0,8,7,0.285700000000000,61,1.000000000000000,0,0.000000000000000,0.468800000000000,0,0,6.500000000000000,true
BaseDataExporter.java,org.seedstack.business.data.BaseDataExporter,3,2,6,0,0,2,1,0.750000000000000,25,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.666700000000000,false
BaseDataImporter.java,org.seedstack.business.data.BaseDataImporter,3,2,6,0,0,2,1,0.750000000000000,25,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.666700000000000,false
BaseAggregateRoot.java,org.seedstack.business.domain.BaseAggregateRoot,1,2,2,0,0,2,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
BaseDomainEvent.java,org.seedstack.business.domain.BaseDomainEvent,1,2,2,0,0,2,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
BaseDomainEventHandler.java,org.seedstack.business.domain.BaseDomainEventHandler,3,2,6,0,0,2,1,0.750000000000000,25,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.666700000000000,false
BaseFactory.java,org.seedstack.business.domain.BaseFactory,4,9,15,0,0,9,2,0.000000000000000,66,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,15.250000000000000,true
BaseRepository.java,org.seedstack.business.domain.BaseRepository,5,3,8,0,0,3,3,0.900000000000000,48,1.000000000000000,0,0.000000000000000,0.600000000000000,0,0,7.600000000000000,true
BaseValueObject.java,org.seedstack.business.domain.BaseValueObject,4,5,9,6,0,5,4,2.000000000000000,35,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,7.750000000000000,false
LimitOption.java,org.seedstack.business.domain.LimitOption,2,1,3,0,0,1,2,0.000000000000000,12,1.000000000000000,0,0.000000000000000,0.750000000000000,0,0,4.500000000000000,false
OffsetOption.java,org.seedstack.business.domain.OffsetOption,2,1,3,0,0,1,2,0.000000000000000,12,1.000000000000000,0,0.000000000000000,0.750000000000000,0,0,4.500000000000000,false
SortOption.java,org.seedstack.business.domain.SortOption$Direction,5,1,8,6,0,1,2,0.750000000000000,48,0.333300000000000,3,0.000000000000000,0.333300000000000,0,0,8.000000000000000,true
SortOption.java,org.seedstack.business.domain.SortOption$SortedAttribute,5,1,9,0,0,1,4,0.250000000000000,68,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,12.200000000000000,true
BusinessErrorCode.java,org.seedstack.business.internal.BusinessErrorCode,5,2,8,6,0,2,2,0.750000000000000,433,0.026300000000000,38,0.000000000000000,0.333300000000000,0,0,78.000000000000000,true
BusinessException.java,org.seedstack.business.internal.BusinessException,4,2,6,6,0,2,2,2.000000000000000,24,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,false
BusinessSpecifications.java,org.seedstack.business.internal.BusinessSpecifications,2,2,12,1,0,2,0,1.000000000000000,232,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,103.500000000000000,false
