javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AccountCreationWizard.java,org.jivesoftware.AccountCreationWizard$1,3,12,26,0,0,12,2,0.166700000000000,127,0.000000000000000,0,0.000000000000000,0.555600000000000,0,0,40.333300000000000,true
LoginDialog.java,org.jivesoftware.LoginDialog$1,2,1,4,0,0,1,1,0.000000000000000,13,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,true
LoginDialog.java,org.jivesoftware.LoginDialog$ImagePanel,3,1,15,0,0,1,3,0.750000000000000,61,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,18.666700000000000,true
LoginDialog.java,org.jivesoftware.LoginDialog$LoginBackgroundPanel,2,1,11,0,0,1,2,1.000000000000000,45,0.500000000000000,0,0.000000000000000,0.750000000000000,0,0,20.500000000000000,true
LoginDialog.java,org.jivesoftware.LoginDialog$LoginPanel$1,2,5,6,0,0,5,1,1.000000000000000,28,0.250000000000000,0,0.000000000000000,0.625000000000000,0,0,11.000000000000000,true
LoginDialog.java,org.jivesoftware.LoginDialog$LoginPanel$2,2,3,8,0,0,3,1,0.500000000000000,25,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,10.500000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$1,3,3,7,0,0,3,2,0.000000000000000,22,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.000000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$2,2,1,4,0,0,1,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$3,2,4,11,0,0,4,1,1.000000000000000,34,0.500000000000000,0,0.000000000000000,0.666700000000000,0,0,15.000000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$4,2,4,6,0,0,4,1,1.000000000000000,24,0.333300000000000,0,0.000000000000000,0.666700000000000,0,0,9.500000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$5,2,1,4,0,0,1,1,1.000000000000000,14,0.500000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$6,2,4,6,0,0,4,1,1.000000000000000,24,0.333300000000000,0,0.000000000000000,0.666700000000000,0,0,9.500000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$7,2,1,4,1,0,1,1,1.500000000000000,12,0.500000000000000,0,0.000000000000000,0.666700000000000,0,0,4.000000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$8,2,2,4,0,0,2,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.500000000000000,true
MainWindow.java,org.jivesoftware.MainWindow$9,3,4,8,1,0,4,2,0.666700000000000,37,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,10.333300000000000,true
MainWindow.java,org.jivesoftware.MainWindow$MainWindowFocusListener,4,2,6,0,0,2,2,0.000000000000000,27,0.000000000000000,0,0.000000000000000,0.562500000000000,0,0,5.500000000000000,true
MainWindowListener.java,org.jivesoftware.MainWindowListener,3,0,3,3,0,0,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
Restarter.java,org.jivesoftware.Restarter,6,1,19,15,0,1,6,2.000000000000000,89,0.000000000000000,0,0.000000000000000,0.166700000000000,0,0,13.833300000000000,true
SparkCompatibility.java,org.jivesoftware.SparkCompatibility,4,1,34,4,0,1,2,0.666700000000000,249,1.000000000000000,0,0.000000000000000,0.437500000000000,0,0,60.750000000000000,true
SparkStartupListener.java,org.jivesoftware.SparkStartupListener,2,3,7,1,0,3,2,2.000000000000000,15,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,6.500000000000000,true
LoginUIPanel.java,org.jivesoftware.gui.LoginUIPanel$1,2,2,8,0,0,2,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,9.000000000000000,true
LoginUIPanel.java,org.jivesoftware.gui.LoginUIPanel$2,4,1,8,0,0,1,3,0.000000000000000,26,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.250000000000000,true
LoginUIPanel.java,org.jivesoftware.gui.LoginUIPanel$3,2,1,4,0,0,1,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
LoginUIPanel.java,org.jivesoftware.gui.LoginUIPanel$4,2,1,4,0,0,1,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
LoginUIPanel.java,org.jivesoftware.gui.LoginUIPanel$5,2,1,4,0,0,1,1,0.000000000000000,13,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,true
Installer.java,org.jivesoftware.launcher.Installer,8,5,25,28,0,5,7,2.000000000000000,115,0.000000000000000,0,0.000000000000000,0.406300000000000,0,0,13.375000000000000,true
Startup.java,org.jivesoftware.launcher.Startup,4,1,21,6,0,1,2,1.333300000000000,119,1.000000000000000,0,0.000000000000000,0.625000000000000,0,0,28.500000000000000,true
ConfigurationRes.java,org.jivesoftware.resource.ConfigurationRes,5,0,14,2,0,0,4,1.055600000000000,57,0.222200000000000,0,0.000000000000000,0.500000000000000,0,0,8.600000000000000,true
Default.java,org.jivesoftware.resource.Default,12,3,46,38,0,3,11,1.076800000000000,368,0.034500000000000,0,0.000000000000000,0.272700000000000,0,0,20.000000000000000,true
Res.java,org.jivesoftware.resource.Res,5,3,12,0,0,3,3,0.250000000000000,60,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,10.800000000000000,true
SoundsRes.java,org.jivesoftware.resource.SoundsRes,5,0,14,2,0,0,4,0.958300000000000,54,0.333300000000000,0,0.000000000000000,0.500000000000000,0,0,8.600000000000000,true
SparkRes.java,org.jivesoftware.resource.SparkRes,8,2,43,14,0,2,6,1.137800000000000,553,0.006500000000000,0,0.000000000000000,0.285700000000000,0,0,29.625000000000000,true
UTF8Control.java,org.jivesoftware.resource.UTF8Control,2,0,13,1,0,0,2,2.000000000000000,64,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,31.000000000000000,false
ButtonFactory.java,org.jivesoftware.spark.ButtonFactory,15,6,33,103,0,6,13,0.928600000000000,161,1.000000000000000,1,0.000000000000000,0.500000000000000,0,0,9.666700000000000,true
ChatAreaSendField.java,org.jivesoftware.spark.ChatAreaSendField,7,3,29,0,0,3,7,0.722200000000000,144,1.000000000000000,0,0.000000000000000,0.523800000000000,0,0,19.142900000000000,false
ChatManager.java,org.jivesoftware.spark.ChatManager$1,3,11,12,0,0,11,2,0.400000000000000,70,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,20.666700000000000,true
ChatManager.java,org.jivesoftware.spark.ChatManager$SmackChatStateListener,3,8,8,1,0,8,1,0.000000000000000,32,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,9.333300000000000,true
ChatMessageHandler.java,org.jivesoftware.spark.ChatMessageHandler,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
ChatNotFoundException.java,org.jivesoftware.spark.ChatNotFoundException,2,0,4,1,0,0,2,2.000000000000000,10,1.000000000000000,0,0.000000000000000,0.750000000000000,0,0,3.500000000000000,false
DataManager.java,org.jivesoftware.spark.DataManager,6,2,14,1,0,2,4,0.666700000000000,78,1.000000000000000,1,0.000000000000000,0.400000000000000,0,0,11.500000000000000,true
NativeHandler.java,org.jivesoftware.spark.NativeHandler,4,0,4,6,0,0,4,2.000000000000000,4,0.000000000000000,0,0.000000000000000,0.875000000000000,0,0,0.000000000000000,false
NativeManager.java,org.jivesoftware.spark.NativeManager,6,2,18,0,0,2,6,0.000000000000000,93,1.000000000000000,0,0.000000000000000,0.611100000000000,0,0,14.333300000000000,true
PluginManager.java,org.jivesoftware.spark.PluginManager$1,5,1,7,10,0,1,4,1.000000000000000,32,0.000000000000000,0,0.000000000000000,0.466700000000000,0,0,5.200000000000000,true
PluginRes.java,org.jivesoftware.spark.PluginRes$ResourceType,5,1,8,6,0,1,2,0.750000000000000,70,0.200000000000000,5,0.000000000000000,0.333300000000000,0,0,12.000000000000000,true
PluginRes.java,org.jivesoftware.spark.PluginRes,17,2,23,98,0,2,12,0.787500000000000,146,1.000000000000000,0,0.000000000000000,0.250000000000000,0,0,7.294100000000000,true
PresenceManager.java,org.jivesoftware.spark.PresenceManager,16,23,61,108,0,23,14,0.800000000000000,414,1.000000000000000,0,0.000000000000000,0.266700000000000,0,0,24.812500000000000,true
UserManager.java,org.jivesoftware.spark.UserManager$1,2,7,16,0,0,7,1,0.200000000000000,88,0.000000000000000,0,0.000000000000000,0.571400000000000,0,0,40.500000000000000,true
UserManager.java,org.jivesoftware.spark.UserManager$2,2,8,30,0,0,8,1,0.200000000000000,115,0.000000000000000,0,0.000000000000000,0.571400000000000,0,0,54.000000000000000,true
UserManager.java,org.jivesoftware.spark.UserManager$3,2,2,7,0,0,2,1,0.250000000000000,35,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,14.500000000000000,true
UserManager.java,org.jivesoftware.spark.UserManager$4$1,2,3,5,0,0,3,1,0.000000000000000,24,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,10.000000000000000,true
UserManager.java,org.jivesoftware.spark.UserManager$4,3,4,12,1,0,4,2,0.625000000000000,51,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,14.666700000000000,true
Workspace.java,org.jivesoftware.spark.Workspace$1,4,10,20,4,0,10,3,0.666700000000000,48,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,10.750000000000000,true
Workspace.java,org.jivesoftware.spark.Workspace$2,2,2,5,1,0,2,1,1.500000000000000,17,0.500000000000000,0,0.000000000000000,0.625000000000000,0,0,6.500000000000000,true
Workspace.java,org.jivesoftware.spark.Workspace$3,2,10,11,1,0,10,1,1.000000000000000,31,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,14.000000000000000,true
AutoCompleteDocument.java,org.jivesoftware.spark.component.AutoCompleteDocument,6,0,32,7,0,0,6,0.533300000000000,166,1.000000000000000,0,0.000000000000000,0.361100000000000,0,0,26.166700000000000,true
BackgroundPanel.java,org.jivesoftware.spark.component.BackgroundPanel,2,1,11,1,0,1,2,2.000000000000000,40,1.000000000000000,0,0.000000000000000,0.750000000000000,0,0,18.500000000000000,false
CheckBoxList.java,org.jivesoftware.spark.component.CheckBoxList,3,1,21,0,0,1,3,0.666700000000000,87,1.000000000000000,0,0.000000000000000,0.555600000000000,0,0,27.000000000000000,true
CheckNode.java,org.jivesoftware.spark.component.CheckNode,12,1,17,44,0,1,12,0.896100000000000,109,0.714300000000000,0,0.000000000000000,0.333300000000000,0,0,7.500000000000000,false
CheckRenderer.java,org.jivesoftware.spark.component.CheckRenderer$TreeLabel,6,0,21,11,0,0,6,0.933300000000000,124,0.333300000000000,0,0.000000000000000,0.416700000000000,0,0,19.166700000000000,false
CheckRenderer.java,org.jivesoftware.spark.component.CheckRenderer,5,2,35,0,0,2,5,0.666700000000000,202,1.000000000000000,0,0.000000000000000,0.333300000000000,0,0,38.800000000000000,false
CheckTree.java,org.jivesoftware.spark.component.CheckTree$ButtonActionListener,2,1,13,0,0,1,1,0.000000000000000,68,1.000000000000000,0,0.000000000000000,0.625000000000000,0,0,32.000000000000000,true
