javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
AbstractOpenApiResource.java,org.springdoc.api.AbstractOpenApiResource$ConditionType,5,1,8,6,0,1,2,0.750000000000000,59,0.250000000000000,4,0.000000000000000,0.333300000000000,0,0,10.000000000000000,true
AbstractOpenApiResource.java,org.springdoc.api.AbstractOpenApiResource$2,1,2,5,0,0,2,0,2.000000000000000,89,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,86.000000000000000,true
AbstractOpenApiResource.java,org.springdoc.api.AbstractOpenApiResource$1,1,2,2,0,0,2,0,2.000000000000000,8,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,6.000000000000000,true
OpenApiResourceNotFoundException.java,org.springdoc.api.OpenApiResourceNotFoundException,1,0,2,0,0,0,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,false
ParameterObject.java,org.springdoc.api.annotations.ParameterObject,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
SortedOpenAPIMixin.java,org.springdoc.api.mixins.SortedOpenAPIMixin,3,1,3,3,0,1,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.555600000000000,0,0,0.000000000000000,false
SortedOpenAPIMixin31.java,org.springdoc.api.mixins.SortedOpenAPIMixin31,3,1,3,3,0,1,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.555600000000000,0,0,0.000000000000000,false
SortedSchemaMixin.java,org.springdoc.api.mixins.SortedSchemaMixin,14,1,14,91,0,1,14,2.000000000000000,14,0.000000000000000,0,0.000000000000000,0.381000000000000,0,0,0.000000000000000,false
SortedSchemaMixin31.java,org.springdoc.api.mixins.SortedSchemaMixin31,13,0,13,78,0,0,13,2.000000000000000,13,0.000000000000000,0,0.000000000000000,0.384600000000000,0,0,0.000000000000000,false
AbstractSwaggerUiConfigProperties.java,org.springdoc.core.AbstractSwaggerUiConfigProperties,55,1,56,1427,0,1,55,0.980800000000000,277,1.000000000000000,0,0.000000000000000,0.213000000000000,0,0,3.545500000000000,true
AbstractSwaggerUiConfigProperties.java,org.springdoc.core.AbstractSwaggerUiConfigProperties$SwaggerUrl,11,1,21,9,0,1,11,0.666700000000000,120,1.000000000000000,0,0.000000000000000,0.484800000000000,0,0,9.636400000000000,true
AbstractSwaggerUiConfigProperties.java,org.springdoc.core.AbstractSwaggerUiConfigProperties$Direction,6,1,10,7,0,1,3,0.733300000000000,53,0.333300000000000,3,0.000000000000000,0.333300000000000,0,0,7.333300000000000,true
CacheOrGroupedOpenApiCondition.java,org.springdoc.core.CacheOrGroupedOpenApiCondition,1,2,2,0,0,2,0,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,4.000000000000000,false
CacheOrGroupedOpenApiCondition.java,org.springdoc.core.CacheOrGroupedOpenApiCondition$OnMultipleOpenApiSupportCondition,1,0,2,0,0,0,0,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
CacheOrGroupedOpenApiCondition.java,org.springdoc.core.CacheOrGroupedOpenApiCondition$OnCacheDisabled,1,0,2,0,0,0,0,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
Constants.java,org.springdoc.core.Constants,2,0,7,1,0,0,0,1.985700000000000,86,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,7.000000000000000,true
ControllerAdviceInfo.java,org.springdoc.core.ControllerAdviceInfo,3,0,5,0,0,0,3,0.500000000000000,22,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.666700000000000,true
