javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
APIKeys.java,com.klinker.android.twitter_l.APIKeys,3,3,11,1,0,3,2,0.593800000000000,103,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,28.000000000000000,true
BrowserActivity.java,com.klinker.android.twitter_l.activities.BrowserActivity$WebClient,2,5,11,0,0,5,1,0.000000000000000,44,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,20.500000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$1,2,7,20,0,0,7,1,0.000000000000000,108,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,52.500000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$2,4,4,7,4,0,4,3,0.666700000000000,30,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,6.250000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$3,2,3,4,0,0,3,1,0.000000000000000,13,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.000000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$4,2,10,14,0,0,10,1,0.000000000000000,49,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,23.000000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$5,2,6,5,0,0,6,1,0.000000000000000,19,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,8.000000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$6,2,11,26,0,0,11,1,0.000000000000000,178,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,87.500000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation$GetList,5,12,25,4,0,12,0,0.000000000000000,127,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,24.200000000000000,true
DirectMessageConversation.java,com.klinker.android.twitter_l.activities.DirectMessageConversation,17,64,131,76,0,64,8,0.954500000000000,767,0.409100000000000,0,0.000000000000000,0.201700000000000,0,0,42.823500000000000,true
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$1,2,2,5,0,0,2,1,0.000000000000000,17,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,7.000000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$2,3,3,7,1,0,3,2,0.500000000000000,23,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,6.333300000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$3,2,4,6,0,0,4,1,0.000000000000000,19,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,8.000000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$4,2,2,5,0,0,2,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,8.500000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$5,2,2,4,0,0,2,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$6,2,2,4,0,0,2,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$7,2,6,5,0,0,6,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,9.000000000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch$DownloadVideo,6,9,25,3,0,9,2,0.400000000000000,109,0.000000000000000,0,0.000000000000000,0.285700000000000,0,0,16.666700000000000,false
GiphySearch.java,com.klinker.android.twitter_l.activities.GiphySearch,11,30,42,35,0,30,3,0.800000000000000,189,1.000000000000000,0,0.000000000000000,0.290900000000000,0,0,15.636400000000000,false
MainActivity.java,com.klinker.android.twitter_l.activities.MainActivity$1$1,4,5,6,6,0,5,3,1.000000000000000,21,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.000000000000000,true
MainActivity.java,com.klinker.android.twitter_l.activities.MainActivity$1,2,7,8,1,0,7,1,2.000000000000000,25,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.500000000000000,true
