javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
Argon2.java,com.quorum.tessera.argon2.Argon2,3,2,6,3,0,2,3,2.000000000000000,9,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,2.000000000000000,false
ArgonResult.java,com.quorum.tessera.argon2.ArgonResult,4,1,6,0,0,1,4,0.666700000000000,34,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,6.750000000000000,false
CliAdapter.java,com.quorum.tessera.cli.CliAdapter,2,2,2,1,0,2,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,true
CliException.java,com.quorum.tessera.cli.CliException,1,0,2,0,0,0,1,2.000000000000000,5,0.000000000000000,0,1.000000000000000,1.000000000000000,0,0,4.000000000000000,true
CLIExceptionCapturer.java,com.quorum.tessera.cli.CLIExceptionCapturer,4,6,10,0,0,6,4,0.333300000000000,43,1.000000000000000,0,0.000000000000000,0.375000000000000,0,0,9.500000000000000,false
CliResult.java,com.quorum.tessera.cli.CliResult,4,1,7,0,0,1,4,0.666700000000000,31,1.000000000000000,0,0.000000000000000,0.437500000000000,0,0,6.000000000000000,true
CliType.java,com.quorum.tessera.cli.CliType,4,1,7,4,0,1,2,1.000000000000000,90,0.125000000000000,7,0.866700000000000,0.444400000000000,1,1,19.500000000000000,true
CliKeyPasswordResolver.java,com.quorum.tessera.cli.keypassresolver.CliKeyPasswordResolver$1,1,3,3,0,0,3,0,2.000000000000000,11,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,9.000000000000000,true
KeyPasswordResolver.java,com.quorum.tessera.cli.keypassresolver.KeyPasswordResolver,2,1,5,1,0,1,2,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,3.000000000000000,false
ConfigConverter.java,com.quorum.tessera.cli.parsers.ConfigConverter,3,4,13,3,0,4,3,2.000000000000000,64,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,20.333300000000000,false
PidFileMixin.java,com.quorum.tessera.cli.parsers.PidFileMixin,5,3,19,2,0,3,3,0.500000000000000,103,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,19.000000000000000,false
ArgonOptionsConverter.java,com.quorum.tessera.config.cli.ArgonOptionsConverter,3,3,11,3,0,3,3,2.000000000000000,60,0.000000000000000,0,0.000000000000000,0.833300000000000,0,0,19.000000000000000,false
DebugOptions.java,com.quorum.tessera.config.cli.DebugOptions,1,0,2,0,0,0,1,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
DefaultKeyDataMarshaller.java,com.quorum.tessera.config.cli.DefaultKeyDataMarshaller,2,4,4,1,0,4,2,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,3.000000000000000,false
KeyDataMarshaller.java,com.quorum.tessera.config.cli.KeyDataMarshaller,2,2,5,1,0,2,2,2.000000000000000,8,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,3.000000000000000,false
KeyGenFileUpdateOptions.java,com.quorum.tessera.config.cli.KeyGenFileUpdateOptions,4,1,5,6,0,1,4,1.000000000000000,19,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
