javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
ViewPagerBottomSheetBehavior.java,com.google.android.material.bottomsheet.ViewPagerBottomSheetBehavior,4,8,14,6,0,8,3,2.0,86,0.0,0,0.0,0.4375,0,0,20.5,True
PodcastApp.java,de.danoeh.antennapod.PodcastApp,5,22,39,8,0,22,4,0.5,97,1.0,1,0.0,0.5,0,0,18.2,True
DownloadAuthenticationActivity.java,de.danoeh.antennapod.activity.DownloadAuthenticationActivity,2,10,12,1,0,10,1,2.0,39,0.0,0,0.0,0.75,0,0,18.0,True
MainActivity.java,de.danoeh.antennapod.activity.MainActivity$1,3,6,12,1,0,6,2,0.0,70,0.0,0,0.0,0.5333,0,0,22.0,True
MainActivity.java,de.danoeh.antennapod.activity.MainActivity$2,1,2,5,0,0,2,0,2.0,54,0.0,0,0.0,0.0,0,0,51.0,True
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$1,5,5,14,4,0,5,4,0.25,45,0.0,0,0.0,0.36,0,0,7.8,True
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$2,2,5,4,1,0,5,1,1.0,18,0.0,0,0.0,0.6429,0,0,7.5,True
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$3,3,4,6,1,0,4,2,0.5,25,0.0,0,0.0,0.4762,0,0,6.6667,True
OnlineFeedViewActivity.java,de.danoeh.antennapod.activity.OnlineFeedViewActivity$FeedViewAuthenticationDialog,3,3,11,0,0,3,0,0.25,43,0.5,0,0.0,0.5333,0,0,12.6667,True
PreferenceActivity.java,de.danoeh.antennapod.activity.PreferenceActivity,7,33,58,21,0,33,5,1.1667,317,0.5,0,0.0,0.3429,0,0,44.0,True
SelectSubscriptionActivity.java,de.danoeh.antennapod.activity.SelectSubscriptionActivity$1,4,7,6,0,0,7,3,0.0,40,0.0,0,0.0,0.5278,0,0,8.5,False
StorageErrorActivity.java,de.danoeh.antennapod.activity.StorageErrorActivity$1,2,6,8,0,0,6,1,0.0,32,0.0,0,0.0,0.625,0,0,14.5,True
VideoplayerActivity.java,de.danoeh.antennapod.activity.VideoplayerActivity$1,8,9,24,0,0,9,5,0.0,79,0.0,0,0.0,0.325,0,0,8.75,True
VideoplayerActivity.java,de.danoeh.antennapod.activity.VideoplayerActivity$2,4,5,7,4,0,5,3,0.6667,20,0.0,0,0.0,0.6667,0,0,3.75,True
VideoplayerActivity.java,de.danoeh.antennapod.activity.VideoplayerActivity$3,4,6,15,0,0,6,3,0.3333,70,0.0,0,0.0,0.5625,0,0,16.25,True
WidgetConfigActivity.java,de.danoeh.antennapod.activity.WidgetConfigActivity$1,4,5,16,4,0,5,3,0.6667,41,0.0,0,0.0,0.5,0,0,9.0,False
ChaptersListAdapter.java,de.danoeh.antennapod.adapter.ChaptersListAdapter$Callback,1,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,True
ChaptersListAdapter.java,de.danoeh.antennapod.adapter.ChaptersListAdapter$ChapterHolder,1,5,3,0,0,5,1,2.0,60,0.0,0,0.0,1.0,0,0,51.0,True
CoverLoader.java,de.danoeh.antennapod.adapter.CoverLoader$CoverTarget,6,14,21,9,0,14,4,0.4,136,1.0,0,0.0,0.3148,0,0,21.1667,True
CoverLoader.java,de.danoeh.antennapod.adapter.CoverLoader,8,13,23,10,0,13,8,0.8163,133,1.0,0,0.0,0.2857,0,0,14.75,True
DataFolderAdapter.java,de.danoeh.antennapod.adapter.DataFolderAdapter$StoragePath,6,1,11,0,0,1,0,0.0,53,1.0,0,0.0,0.5833,0,0,7.6667,True
DataFolderAdapter.java,de.danoeh.antennapod.adapter.DataFolderAdapter$ViewHolder,6,5,8,5,0,5,0,0.8,59,1.0,0,0.0,0.3889,0,0,8.0,True
