javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
MockAppIdentityService.java,com.google.auth.appengine.MockAppIdentityService,15,5,22,67,0,5,15,0.8286,118,1.0,0,0.0,0.3067,0,0,6.5333,False
Credentials.java,com.google.auth.Credentials$1,2,2,4,0,0,2,1,0.0,25,0.0,0,0.0,0.625,0,0,10.0,True
Credentials.java,com.google.auth.Credentials,9,2,14,36,0,2,8,1.125,40,1.0,0,0.0,0.4167,0,0,3.3333,True
RequestMetadataCallback.java,com.google.auth.RequestMetadataCallback,2,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.6667,0,0,0.0,False
Retryable.java,com.google.auth.Retryable,2,0,2,1,0,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,False
ServiceAccountSigner.java,com.google.auth.ServiceAccountSigner$SigningException,3,0,8,3,0,0,3,1.5,52,1.0,0,0.0,0.5,0,0,16.0,False
ServiceAccountSigner.java,com.google.auth.ServiceAccountSigner,2,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,False
SigningExceptionTest.java,com.google.auth.SigningExceptionTest,7,2,19,0,0,2,0,0.6667,115,1.0,0,0.0,1.0,0,0,15.1429,False
AuthHttpConstants.java,com.google.auth.http.AuthHttpConstants,1,0,2,0,0,0,1,2.0,6,0.0,0,0.0,1.0,0,0,3.0,False
HttpCredentialsAdapter.java,com.google.auth.http.HttpCredentialsAdapter,5,8,34,0,0,8,4,0.5833,150,1.0,0,0.0,0.45,0,0,28.4,True
HttpTransportFactory.java,com.google.auth.http.HttpTransportFactory,1,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,False
InternalAuthHttpConstants.java,com.google.auth.http.InternalAuthHttpConstants,1,0,2,0,0,0,0,2.0,5,0.0,0,0.0,1.0,0,0,3.0,False
AccessToken.java,com.google.auth.oauth2.AccessToken,7,2,17,0,0,2,6,0.5556,93,1.0,0,0.0,0.3571,0,0,11.8571,True
